"miR" "bone" "bone.marrow" "heart" "kidney" "ovary" "placenta" "salivary.gland"
"1" "hsa-let-7a-2-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"2" "hsa-let-7a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"3" "hsa-let-7a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"4" "hsa-let-7b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"5" "hsa-let-7b-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"6" "hsa-let-7c-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"7" "hsa-let-7d-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"8" "hsa-let-7e-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"9" "hsa-let-7f-1-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"10" "hsa-let-7f-2-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"11" "hsa-let-7f-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"12" "hsa-let-7g-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"13" "hsa-let-7g-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"14" "hsa-let-7i-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"15" "hsa-let-7i-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"16" "hsa-miR-1-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"17" "hsa-miR-100-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"18" "hsa-miR-100-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"19" "hsa-miR-101-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"20" "hsa-miR-101-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"21" "hsa-miR-103a-2-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"22" "hsa-miR-103a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"23" "hsa-miR-103b" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"24" "hsa-miR-105-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"25" "hsa-miR-106a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"26" "hsa-miR-106a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"27" "hsa-miR-106b-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"28" "hsa-miR-107" "1" "not on expr" "1" "1" "1" "1" "1"
"29" "hsa-miR-10a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"30" "hsa-miR-10b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"31" "hsa-miR-10b-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"32" "hsa-miR-1178-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"33" "hsa-miR-1179" "?" "not on expr" "1" "1" "1" "?" "1"
"34" "hsa-miR-1180-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"35" "hsa-miR-1182" "?" "not on expr" "1" "1" "1" "?" "1"
"36" "hsa-miR-1183" "?" "not on expr" "1" "1" "1" "?" "1"
"37" "hsa-miR-1184" "?" "not on expr" "1" "1" "1" "?" "1"
"38" "hsa-miR-1185-1-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"39" "hsa-miR-1185-2-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"40" "hsa-miR-1185-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"41" "hsa-miR-1193" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"42" "hsa-miR-1197" "?" "not on expr" "1" "1" "1" "?" "1"
"43" "hsa-miR-1200" "?" "not on expr" "1" "1" "1" "?" "1"
"44" "hsa-miR-1202" "?" "not on expr" "1" "1" "1" "?" "1"
"45" "hsa-miR-1203" "?" "not on expr" "1" "1" "1" "?" "1"
"46" "hsa-miR-1205" "?" "not on expr" "1" "1" "1" "?" "1"
"47" "hsa-miR-1206" "?" "not on expr" "1" "1" "1" "?" "1"
"48" "hsa-miR-1207-3p" "?" "not on expr" "1" "1" "1" "?" "1"
"49" "hsa-miR-1207-5p" "?" "not on expr" "1" "1" "1" "?" "1"
"50" "hsa-miR-1208" "?" "not on expr" "1" "1" "1" "?" "1"
"51" "hsa-miR-122-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"52" "hsa-miR-1224-3p" "1" "not on expr" "1" "1" "1" "?" "1"
"53" "hsa-miR-1224-5p" "1" "not on expr" "1" "1" "1" "?" "1"
"54" "hsa-miR-1225-3p" "1" "not on expr" "1" "1" "1" "?" "1"
"55" "hsa-miR-1225-5p" "1" "not on expr" "1" "1" "1" "?" "1"
"56" "hsa-miR-1226-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"57" "hsa-miR-1226-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"58" "hsa-miR-1227-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"59" "hsa-miR-1228-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"60" "hsa-miR-1228-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"61" "hsa-miR-1229-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"62" "hsa-miR-1231" "1" "not on expr" "1" "1" "1" "?" "1"
"63" "hsa-miR-1233-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"64" "hsa-miR-1234-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"65" "hsa-miR-1236-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"66" "hsa-miR-1237-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"67" "hsa-miR-1238-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"68" "hsa-miR-124-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"69" "hsa-miR-124-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"70" "hsa-miR-1243" "?" "not on expr" "1" "1" "1" "?" "1"
"71" "hsa-miR-1244" "?" "not on expr" "1" "1" "1" "?" "1"
"72" "hsa-miR-1245a" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"73" "hsa-miR-1246" "?" "not on expr" "1" "1" "1" "?" "1"
"74" "hsa-miR-1247-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"75" "hsa-miR-1248" "?" "not on expr" "1" "1" "1" "?" "1"
"76" "hsa-miR-1249-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"77" "hsa-miR-1250-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"78" "hsa-miR-1251-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"79" "hsa-miR-1252-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"80" "hsa-miR-1253" "?" "not on expr" "1" "1" "1" "?" "1"
"81" "hsa-miR-1254" "?" "not on expr" "1" "1" "1" "?" "1"
"82" "hsa-miR-1255a" "?" "not on expr" "1" "1" "1" "?" "1"
"83" "hsa-miR-1255b-2-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"84" "hsa-miR-1255b-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"85" "hsa-miR-1256" "?" "not on expr" "1" "1" "1" "?" "1"
"86" "hsa-miR-1257" "?" "not on expr" "1" "1" "1" "?" "1"
"87" "hsa-miR-1258" "?" "not on expr" "1" "1" "1" "?" "1"
"88" "hsa-miR-125a-3p" "1" "not on expr" "1" "1" "1" "?" "1"
"89" "hsa-miR-125a-5p" "1" "not on expr" "1" "1" "1" "?" "1"
"90" "hsa-miR-125b-2-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"91" "hsa-miR-125b-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"92" "hsa-miR-126-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"93" "hsa-miR-126-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"94" "hsa-miR-1260a" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"95" "hsa-miR-1260b" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"96" "hsa-miR-1261" "?" "not on expr" "1" "1" "1" "?" "1"
"97" "hsa-miR-1262" "?" "not on expr" "1" "1" "1" "?" "1"
"98" "hsa-miR-1263" "?" "not on expr" "1" "1" "1" "?" "1"
"99" "hsa-miR-1264" "?" "not on expr" "1" "1" "1" "?" "1"
"100" "hsa-miR-1265" "?" "not on expr" "1" "1" "1" "?" "1"
"101" "hsa-miR-1266-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"102" "hsa-miR-1267" "?" "not on expr" "1" "1" "1" "?" "1"
"103" "hsa-miR-1268a" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"104" "hsa-miR-1269a" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"105" "hsa-miR-1269b" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"106" "hsa-miR-127-3p" "1" "not on expr" "1" "1" "1" "?" "1"
"107" "hsa-miR-127-5p" "1" "not on expr" "1" "1" "1" "?" "1"
"108" "hsa-miR-1270" "?" "not on expr" "1" "1" "1" "?" "1"
"109" "hsa-miR-1271-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"110" "hsa-miR-1272" "?" "not on expr" "1" "1" "1" "?" "1"
"111" "hsa-miR-1273a" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"112" "hsa-miR-1273d" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"113" "hsa-miR-1273e" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"114" "hsa-miR-1273f" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"115" "hsa-miR-1273g-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"116" "hsa-miR-1275" "?" "not on expr" "1" "1" "1" "?" "1"
"117" "hsa-miR-1276" "?" "not on expr" "1" "1" "1" "?" "1"
"118" "hsa-miR-1277-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"119" "hsa-miR-1277-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"120" "hsa-miR-1278" "?" "not on expr" "1" "1" "1" "?" "1"
"121" "hsa-miR-1279" "?" "not on expr" "1" "1" "1" "?" "1"
"122" "hsa-miR-128-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"123" "hsa-miR-1282" "?" "not on expr" "1" "1" "1" "?" "1"
"124" "hsa-miR-1283" "?" "not on expr" "1" "1" "1" "?" "1"
"125" "hsa-miR-1284" "?" "not on expr" "1" "1" "1" "?" "1"
"126" "hsa-miR-1285-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"127" "hsa-miR-1286" "?" "not on expr" "1" "1" "1" "?" "1"
"128" "hsa-miR-1287-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"129" "hsa-miR-1288-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"130" "hsa-miR-1289" "?" "not on expr" "1" "1" "1" "?" "1"
"131" "hsa-miR-129-1-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"132" "hsa-miR-129-2-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"133" "hsa-miR-129-5p" "1" "not on expr" "1" "1" "1" "?" "1"
"134" "hsa-miR-1290" "?" "not on expr" "1" "1" "1" "?" "1"
"135" "hsa-miR-1291" "?" "not on expr" "1" "1" "1" "?" "1"
"136" "hsa-miR-1292-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"137" "hsa-miR-1293" "?" "not on expr" "1" "1" "1" "?" "1"
"138" "hsa-miR-1294" "?" "not on expr" "1" "1" "1" "?" "1"
"139" "hsa-miR-1295a" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"140" "hsa-miR-1296-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"141" "hsa-miR-1297" "?" "not on expr" "1" "1" "1" "?" "1"
"142" "hsa-miR-1298-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"143" "hsa-miR-1299" "?" "not on expr" "1" "1" "1" "?" "1"
"144" "hsa-miR-1301-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"145" "hsa-miR-1302" "?" "not on expr" "1" "1" "1" "?" "1"
"146" "hsa-miR-1303" "?" "not on expr" "1" "1" "1" "?" "1"
"147" "hsa-miR-1304-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"148" "hsa-miR-1304-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"149" "hsa-miR-1305" "?" "not on expr" "1" "1" "1" "?" "1"
"150" "hsa-miR-1306-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"151" "hsa-miR-1306-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"152" "hsa-miR-1307-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"153" "hsa-miR-130a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"154" "hsa-miR-130a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"155" "hsa-miR-130b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"156" "hsa-miR-130b-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"157" "hsa-miR-132-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"158" "hsa-miR-132-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"159" "hsa-miR-1321" "?" "not on expr" "1" "1" "1" "?" "1"
"160" "hsa-miR-1322" "?" "not on expr" "1" "1" "1" "?" "1"
"161" "hsa-miR-1323" "?" "not on expr" "1" "1" "1" "?" "1"
"162" "hsa-miR-1324" "?" "not on expr" "1" "1" "1" "?" "1"
"163" "hsa-miR-133a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"164" "hsa-miR-133b" "1" "not on expr" "1" "1" "1" "1" "1"
"165" "hsa-miR-134-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"166" "hsa-miR-1343-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"167" "hsa-miR-135a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"168" "hsa-miR-135a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"169" "hsa-miR-135b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
