"pancreatic.cancer" "pancreatic.cancer" "num_rep" "sample_num"
"1" "hsa-let-7a-5p" 8 1 8
"2" "hsa-let-7a-3p" 8 1 8
"3" "hsa-let-7a-2-3p" 5 1 8
"4" "hsa-let-7b-5p" 8 1 8
"5" "hsa-let-7b-3p" 8 1 8
"6" "hsa-let-7c-5p" 8 1 8
"7" "hsa-let-7c-3p" 0 1 8
"8" "hsa-let-7d-5p" 8 1 8
"9" "hsa-let-7d-3p" 8 1 8
"10" "hsa-let-7e-5p" 8 1 8
"11" "hsa-let-7e-3p" 8 1 8
"12" "hsa-let-7f-5p" 8 1 8
"13" "hsa-let-7f-1-3p" 8 1 8
"14" "hsa-let-7f-2-3p" 6 1 8
"15" "hsa-miR-15a-5p" 4 1 8
"16" "hsa-miR-15a-3p" 0 1 8
"17" "hsa-miR-16-5p" 8 1 8
"18" "hsa-miR-16-1-3p" 3 1 8
"19" "hsa-miR-17-5p" 8 1 8
"20" "hsa-miR-17-3p" 5 1 8
"21" "hsa-miR-18a-5p" 8 1 8
"22" "hsa-miR-18a-3p" 8 1 8
"23" "hsa-miR-19a-5p" 0 1 8
"24" "hsa-miR-19a-3p" 8 1 8
"25" "hsa-miR-19b-1-5p" 3 1 8
"26" "hsa-miR-19b-3p" 7 1 8
"27" "hsa-miR-19b-2-5p" 0 1 8
"28" "hsa-miR-20a-5p" 8 1 8
"29" "hsa-miR-20a-3p" 6 1 8
"30" "hsa-miR-21-5p" 8 1 8
"31" "hsa-miR-21-3p" 8 1 8
"32" "hsa-miR-22-5p" 8 1 8
"33" "hsa-miR-22-3p" 8 1 8
"34" "hsa-miR-23a-5p" 8 1 8
"35" "hsa-miR-23a-3p" 8 1 8
"36" "hsa-miR-24-1-5p" 5 1 8
"37" "hsa-miR-24-3p" 8 1 8
"38" "hsa-miR-24-2-5p" 8 1 8
"39" "hsa-miR-25-5p" 8 1 8
"40" "hsa-miR-25-3p" 8 1 8
"41" "hsa-miR-26a-5p" 8 1 8
"42" "hsa-miR-26a-1-3p" 5 1 8
"43" "hsa-miR-26b-5p" 8 1 8
"44" "hsa-miR-26b-3p" 5 1 8
"45" "hsa-miR-27a-5p" 8 1 8
