"miR" "adipose.tissue" "sample_num"
"1" "hsa-let-7a-2-3p" 0 200
"2" "hsa-let-7a-3p" 73 200
"3" "hsa-let-7a-5p" 104 200
"4" "hsa-let-7b-3p" 30 200
"5" "hsa-let-7b-5p" 77 200
"6" "hsa-let-7c" 117 200
"7" "hsa-let-7d-3p" 38 200
"8" "hsa-let-7d-5p" 41 200
"9" "hsa-let-7e-3p" 83 200
"10" "hsa-let-7e-5p" 24 200
"11" "hsa-let-7f-1-3p" 28 200
"12" "hsa-let-7f-2-3p" 54 200
"13" "hsa-let-7f-5p" 66 200
"14" "hsa-let-7g-3p" 51 200
"15" "hsa-let-7g-5p" 61 200
"16" "hsa-let-7i-3p" 52 200
"17" "hsa-let-7i-5p" 77 200
"18" "hsa-miR-1" 35 200
"19" "hsa-miR-100-3p" 80 200
"20" "hsa-miR-100-5p" 39 200
"21" "hsa-miR-101-3p" 73 200
"22" "hsa-miR-101-5p" 45 200
"23" "hsa-miR-103a-2-5p" 30 200
"24" "hsa-miR-103a-3p" 71 200
"25" "hsa-miR-103b" 0 200
"26" "hsa-miR-105-3p" 0 200
"27" "hsa-miR-105-5p" 1 200
"28" "hsa-miR-106a-3p" 30 200
"29" "hsa-miR-106a-5p" 46 200
"30" "hsa-miR-106b-3p" 65 200
"31" "hsa-miR-106b-5p" 67 200
"32" "hsa-miR-107" 64 200
"33" "hsa-miR-10a-3p" 40 200
"34" "hsa-miR-10a-5p" 56 200
"35" "hsa-miR-10b-3p" 29 200
"36" "hsa-miR-10b-5p" 14 200
"37" "hsa-miR-1178" 0 200
"38" "hsa-miR-1179" 17 200
"39" "hsa-miR-1180" 52 200
"40" "hsa-miR-1181" 0 200
"41" "hsa-miR-1182" 0 200
"42" "hsa-miR-1183" 0 200
"43" "hsa-miR-1184" 0 200
"44" "hsa-miR-1185-1-3p" 29 200
"45" "hsa-miR-1185-2-3p" 1 200
"46" "hsa-miR-1185-5p" 37 200
"47" "hsa-miR-1193" 0 200
"48" "hsa-miR-1197" 6 200
"49" "hsa-miR-1200" 0 200
"50" "hsa-miR-1202" 0 200
"51" "hsa-miR-1203" 0 200
"52" "hsa-miR-1204" 0 200
"53" "hsa-miR-1205" 0 200
"54" "hsa-miR-1206" 0 200
"55" "hsa-miR-1207-3p" 0 200
"56" "hsa-miR-1207-5p" 0 200
"57" "hsa-miR-1208" 0 200
"58" "hsa-miR-122-3p" 0 200
"59" "hsa-miR-1224-3p" 0 200
"60" "hsa-miR-1224-5p" 4 200
"61" "hsa-miR-1225-3p" 0 200
"62" "hsa-miR-1225-5p" 0 200
"63" "hsa-miR-122-5p" 10 200
"64" "hsa-miR-1226-3p" 66 200
"65" "hsa-miR-1226-5p" 0 200
"66" "hsa-miR-1227" 24 200
"67" "hsa-miR-1228-3p" 73 200
"68" "hsa-miR-1228-5p" 3 200
"69" "hsa-miR-1229" 11 200
"70" "hsa-miR-1231" 0 200
"71" "hsa-miR-1233" 0 200
"72" "hsa-miR-1234" 1 200
"73" "hsa-miR-1236" 0 200
"74" "hsa-miR-1237" 0 200
"75" "hsa-miR-1238" 0 200
"76" "hsa-miR-1243" 0 200
"77" "hsa-miR-124-3p" 1 200
"78" "hsa-miR-1244" 0 200
"79" "hsa-miR-1245a" 0 200
"80" "hsa-miR-1245b-3p" 0 200
"81" "hsa-miR-1245b-5p" 0 200
"82" "hsa-miR-124-5p" 0 200
"83" "hsa-miR-1246" 0 200
"84" "hsa-miR-1247-3p" 11 200
"85" "hsa-miR-1247-5p" 25 200
"86" "hsa-miR-1248" 33 200
"87" "hsa-miR-1249" 62 200
"88" "hsa-miR-1250" 0 200
"89" "hsa-miR-1251" 0 200
"90" "hsa-miR-1252" 0 200
"91" "hsa-miR-1253" 0 200
"92" "hsa-miR-1254" 27 200
"93" "hsa-miR-1255a" 24 200
"94" "hsa-miR-1255b-2-3p" 0 200
"95" "hsa-miR-1255b-5p" 0 200
"96" "hsa-miR-1256" 0 200
"97" "hsa-miR-1257" 0 200
"98" "hsa-miR-1258" 0 200
"99" "hsa-miR-125a-3p" 90 200
"100" "hsa-miR-125a-5p" 34 200
"101" "hsa-miR-125b-1-3p" 126 200
"102" "hsa-miR-125b-2-3p" 99 200
"103" "hsa-miR-125b-5p" 70 200
"104" "hsa-miR-1260a" 118 200
"105" "hsa-miR-1260b" 40 200
"106" "hsa-miR-1261" 0 200
"107" "hsa-miR-1262" 0 200
"108" "hsa-miR-1263" 0 200
"109" "hsa-miR-126-3p" 75 200
"110" "hsa-miR-1264" 0 200
"111" "hsa-miR-1265" 0 200
"112" "hsa-miR-126-5p" 45 200
"113" "hsa-miR-1266" 1 200
"114" "hsa-miR-1267" 0 200
"115" "hsa-miR-1268a" 0 200
"116" "hsa-miR-1268b" 0 200
"117" "hsa-miR-1269a" 0 200
"118" "hsa-miR-1269b" 0 200
"119" "hsa-miR-1270" 46 200
"120" "hsa-miR-1271-3p" 0 200
"121" "hsa-miR-1271-5p" 77 200
"122" "hsa-miR-1272" 0 200
"123" "hsa-miR-1273a" 38 200
"124" "hsa-miR-1273c" 0 200
"125" "hsa-miR-1273d" 3 200
"126" "hsa-miR-1273f" 2 200
"127" "hsa-miR-1273g-3p" 20 200
