"miR" "Alzheimer.s.disease" "sample_num"
"1" "hsa-miR-181a-5p" 6 6
"2" "hsa-miR-26a-5p" 6 6
"3" "hsa-miR-9-5p" 6 6
"4" "hsa-miR-22-3p" 6 6
"5" "hsa-let-7a-5p" 6 6
"6" "hsa-miR-30a-5p" 6 6
"7" "hsa-miR-27b-3p" 6 6
"8" "hsa-miR-127-3p" 6 6
"9" "hsa-miR-143-3p" 6 6
"10" "hsa-let-7f-5p" 6 6
"11" "hsa-miR-128" 6 6
"12" "hsa-miR-101-3p" 6 6
"13" "hsa-miR-92b-3p" 6 6
"14" "hsa-miR-191-5p" 6 6
"15" "hsa-miR-92a-3p" 6 6
"16" "hsa-miR-30d-5p" 6 6
"17" "hsa-miR-30e-5p" 6 6
"18" "hsa-miR-126-5p" 6 6
"19" "hsa-miR-181b-5p" 6 6
"20" "hsa-miR-103a-3p" 6 6
"21" "hsa-miR-181c-5p" 6 6
"22" "hsa-miR-338-3p" 6 6
"23" "hsa-let-7g-5p" 6 6
"24" "hsa-miR-124-3p" 6 6
"25" "hsa-miR-125b-5p" 6 6
"26" "hsa-let-7c" 6 6
"27" "hsa-miR-29a-3p" 6 6
"28" "hsa-miR-769-5p" 6 6
"29" "hsa-miR-125a-5p" 6 6
"30" "hsa-let-7b-5p" 6 6
"31" "hsa-miR-138-5p" 6 6
"32" "hsa-miR-30c-5p" 6 6
"33" "hsa-miR-411-5p" 6 6
"34" "hsa-miR-100-5p" 6 6
"35" "hsa-miR-99b-5p" 6 6
"36" "hsa-miR-16-5p" 6 6
"37" "hsa-let-7e-5p" 6 6
"38" "hsa-miR-98-5p" 6 6
"39" "hsa-miR-29c-3p" 6 6
"40" "hsa-miR-26b-5p" 6 6
"41" "hsa-let-7i-5p" 6 6
"42" "hsa-miR-30b-5p" 6 6
"43" "hsa-miR-340-5p" 6 6
"44" "hsa-miR-410" 6 6
"45" "hsa-miR-186-5p" 6 6
"46" "hsa-miR-204-5p" 6 6
"47" "hsa-miR-381-3p" 6 6
"48" "hsa-miR-21-5p" 6 6
"49" "hsa-miR-221-3p" 6 6
"50" "hsa-miR-486-5p" 6 6
"51" "hsa-miR-451a" 6 6
"52" "hsa-miR-151a-3p" 6 6
"53" "hsa-miR-149-5p" 6 6
"54" "hsa-miR-140-3p" 6 6
