"miR" "bone" "num_samples"
"1" "hsa-let-7a" 4 4
"2" "hsa-let-7a*" 0 4
"3" "hsa-let-7b" 4 4
"4" "hsa-let-7b*" 0 4
"5" "hsa-let-7c" 4 4
"6" "hsa-let-7c*" 0 4
"7" "hsa-let-7d" 4 4
"8" "hsa-let-7d*" 0 4
"9" "hsa-let-7e" 4 4
"10" "hsa-let-7e*" 0 4
"11" "hsa-let-7f" 4 4
"12" "hsa-let-7f-1*" 0 4
"13" "hsa-let-7f-2*" 0 4
"14" "hsa-let-7g" 4 4
"15" "hsa-let-7g*" 0 4
"16" "hsa-let-7i" 4 4
"17" "hsa-let-7i*" 0 4
"18" "hsa-mir-1" 4 4
"19" "hsa-mir-100" 3 4
"20" "hsa-mir-100*" 0 4
"21" "hsa-mir-101" 3 4
"22" "hsa-mir-101*" 0 4
"23" "hsa-mir-103" 4 4
"24" "hsa-mir-105" 0 4
"25" "hsa-mir-105*" 0 4
"26" "hsa-mir-106a" 0 4
"27" "hsa-mir-106a*" 0 4
"28" "hsa-mir-106b" 3 4
"29" "hsa-mir-106b*" 0 4
"30" "hsa-mir-107" 3 4
"31" "hsa-mir-10a" 2 4
"32" "hsa-mir-10a*" 0 4
"33" "hsa-mir-10b" 3 4
"34" "hsa-mir-10b*" 0 4
"35" "hsa-mir-122" 0 4
"36" "hsa-mir-122*" 0 4
"37" "hsa-mir-1224-3p" 0 4
"38" "hsa-mir-1224-5p" 3 4
"39" "hsa-mir-1225-3p" 2 4
"40" "hsa-mir-1225-5p" 4 4
"41" "hsa-mir-1226" 0 4
"42" "hsa-mir-1226*" 3 4
"43" "hsa-mir-1227" 0 4
"44" "hsa-mir-1228" 3 4
"45" "hsa-mir-1228*" 0 4
"46" "hsa-mir-1229" 1 4
"47" "hsa-mir-1231" 0 4
"48" "hsa-mir-1233" 0 4
"49" "hsa-mir-1234" 2 4
"50" "hsa-mir-1236" 0 4
"51" "hsa-mir-1237" 0 4
"52" "hsa-mir-1238" 1 4
"53" "hsa-mir-124" 0 4
"54" "hsa-mir-124*" 0 4
"55" "hsa-mir-125a-3p" 4 4
"56" "hsa-mir-125a-5p" 2 4
"57" "hsa-mir-125b" 4 4
"58" "hsa-mir-125b-1*" 0 4
"59" "hsa-mir-125b-2*" 1 4
"60" "hsa-mir-126" 4 4
"61" "hsa-mir-126*" 1 4
"62" "hsa-mir-127-3p" 1 4
"63" "hsa-mir-127-5p" 0 4
"64" "hsa-mir-128" 1 4
"65" "hsa-mir-129-3p" 0 4
"66" "hsa-mir-129-5p" 0 4
"67" "hsa-mir-129*" 0 4
"68" "hsa-mir-130a" 3 4
"69" "hsa-mir-130a*" 0 4
"70" "hsa-mir-130b" 1 4
"71" "hsa-mir-130b*" 0 4
"72" "hsa-mir-132" 0 4
"73" "hsa-mir-132*" 0 4
"74" "hsa-mir-133a" 2 4
"75" "hsa-mir-133b" 4 4
"76" "hsa-mir-134" 4 4
"77" "hsa-mir-135a" 0 4
"78" "hsa-mir-135a*" 2 4
"79" "hsa-mir-135b" 0 4
"80" "hsa-mir-135b*" 0 4
"81" "hsa-mir-136" 1 4
"82" "hsa-mir-136*" 0 4
"83" "hsa-mir-137" 0 4
"84" "hsa-mir-138" 0 4
"85" "hsa-mir-138-1*" 0 4
"86" "hsa-mir-138-2*" 0 4
"87" "hsa-mir-139-3p" 1 4
"88" "hsa-mir-139-5p" 1 4
"89" "hsa-mir-140-3p" 4 4
"90" "hsa-mir-140-5p" 4 4
"91" "hsa-mir-141" 0 4
"92" "hsa-mir-141*" 0 4
"93" "hsa-mir-142-3p" 4 4
"94" "hsa-mir-142-5p" 2 4
"95" "hsa-mir-143" 2 4
"96" "hsa-mir-143*" 0 4
"97" "hsa-mir-144" 3 4
"98" "hsa-mir-144*" 2 4
"99" "hsa-mir-145" 4 4
"100" "hsa-mir-145*" 0 4
"101" "hsa-mir-146a" 2 4
"102" "hsa-mir-146a*" 0 4
"103" "hsa-mir-146b-3p" 0 4
"104" "hsa-mir-146b-5p" 2 4
"105" "hsa-mir-147" 0 4
"106" "hsa-mir-147b" 0 4
"107" "hsa-mir-148a" 3 4
"108" "hsa-mir-148a*" 0 4
"109" "hsa-mir-148b" 1 4
"110" "hsa-mir-148b*" 0 4
"111" "hsa-mir-149" 0 4
"112" "hsa-mir-149*" 0 4
"113" "hsa-mir-150" 3 4
"114" "hsa-mir-150*" 3 4
"115" "hsa-mir-151-3p" 0 4
"116" "hsa-mir-151-5p" 3 4
"117" "hsa-mir-152" 1 4
"118" "hsa-mir-153" 0 4
"119" "hsa-mir-154" 0 4
"120" "hsa-mir-154*" 0 4
"121" "hsa-mir-155" 2 4
"122" "hsa-mir-155*" 0 4
"123" "hsa-mir-15a" 4 4
"124" "hsa-mir-15a*" 0 4
"125" "hsa-mir-15b" 4 4
"126" "hsa-mir-15b*" 0 4
"127" "hsa-mir-16" 4 4
"128" "hsa-mir-16-1*" 0 4
"129" "hsa-mir-16-2*" 0 4
"130" "hsa-mir-17" 3 4
"131" "hsa-mir-17*" 1 4
"132" "hsa-mir-181a" 4 4
"133" "hsa-mir-181a-2*" 0 4
"134" "hsa-mir-181a*" 0 4
"135" "hsa-mir-181b" 3 4
"136" "hsa-mir-181c" 1 4
"137" "hsa-mir-181c*" 0 4
"138" "hsa-mir-181d" 0 4
"139" "hsa-mir-182" 0 4
"140" "hsa-mir-182*" 0 4
"141" "hsa-mir-183" 0 4
"142" "hsa-mir-183*" 0 4
"143" "hsa-mir-184" 0 4
"144" "hsa-mir-185" 2 4
"145" "hsa-mir-185*" 0 4
"146" "hsa-mir-186" 2 4
"147" "hsa-mir-186*" 0 4
"148" "hsa-mir-187" 0 4
"149" "hsa-mir-187*" 0 4
"150" "hsa-mir-188-3p" 0 4
"151" "hsa-mir-188-5p" 4 4
"152" "hsa-mir-18a" 0 4
"153" "hsa-mir-18a*" 0 4
"154" "hsa-mir-18b" 0 4
"155" "hsa-mir-18b*" 0 4
"156" "hsa-mir-190" 0 4
"157" "hsa-mir-190b" 0 4
"158" "hsa-mir-191" 0 4
"159" "hsa-mir-191*" 0 4
"160" "hsa-mir-192" 1 4
"161" "hsa-mir-192*" 0 4
"162" "hsa-mir-193a-3p" 1 4
"163" "hsa-mir-193a-5p" 1 4
"164" "hsa-mir-193b" 2 4
"165" "hsa-mir-193b*" 0 4
"166" "hsa-mir-194" 0 4
"167" "hsa-mir-194*" 0 4
"168" "hsa-mir-195" 4 4
"169" "hsa-mir-195*" 0 4
"170" "hsa-mir-196a" 1 4
"171" "hsa-mir-196a*" 0 4
"172" "hsa-mir-196b" 1 4
"173" "hsa-mir-197" 3 4
"174" "hsa-mir-198" 0 4
"175" "hsa-mir-199a-5p" 3 4
"176" "hsa-mir-199b-3p" 4 4
"177" "hsa-mir-199b-5p" 3 4
"178" "hsa-mir-19a" 2 4
"179" "hsa-mir-19a*" 0 4
"180" "hsa-mir-19b" 4 4
"181" "hsa-mir-19b-1*" 0 4
"182" "hsa-mir-19b-2*" 0 4
"183" "hsa-mir-200a" 0 4
"184" "hsa-mir-200a*" 0 4
"185" "hsa-mir-200b" 0 4
"186" "hsa-mir-200b*" 0 4
"187" "hsa-mir-200c" 0 4
"188" "hsa-mir-200c*" 0 4
"189" "hsa-mir-202" 2 4
"190" "hsa-mir-202*" 0 4
"191" "hsa-mir-203" 0 4
"192" "hsa-mir-204" 1 4
"193" "hsa-mir-205" 0 4
"194" "hsa-mir-206" 2 4
"195" "hsa-mir-208a" 0 4
"196" "hsa-mir-208b" 0 4
"197" "hsa-mir-20a" 4 4
"198" "hsa-mir-20a*" 0 4
"199" "hsa-mir-20b" 3 4
"200" "hsa-mir-20b*" 0 4
"201" "hsa-mir-21" 4 4
"202" "hsa-mir-21*" 1 4
"203" "hsa-mir-210" 1 4
"204" "hsa-mir-211" 0 4
"205" "hsa-mir-212" 3 4
"206" "hsa-mir-214" 4 4
"207" "hsa-mir-214*" 0 4
"208" "hsa-mir-215" 0 4
"209" "hsa-mir-216a" 0 4
"210" "hsa-mir-216b" 0 4
"211" "hsa-mir-217" 0 4
"212" "hsa-mir-218" 1 4
"213" "hsa-mir-218-1*" 0 4
"214" "hsa-mir-218-2*" 0 4
"215" "hsa-mir-219-1-3p" 0 4
"216" "hsa-mir-219-2-3p" 0 4
"217" "hsa-mir-219-5p" 0 4
"218" "hsa-mir-22" 4 4
"219" "hsa-mir-22*" 0 4
"220" "hsa-mir-220a" 0 4
"221" "hsa-mir-220b" 0 4
"222" "hsa-mir-220c" 0 4
"223" "hsa-mir-221" 2 4
"224" "hsa-mir-221*" 0 4
"225" "hsa-mir-222" 1 4
"226" "hsa-mir-222*" 0 4
"227" "hsa-mir-223" 4 4
"228" "hsa-mir-223*" 0 4
"229" "hsa-mir-224" 0 4
"230" "hsa-mir-23a" 4 4
"231" "hsa-mir-23a*" 0 4
"232" "hsa-mir-23b" 4 4
"233" "hsa-mir-23b*" 0 4
"234" "hsa-mir-24" 4 4
"235" "hsa-mir-24-1*" 0 4
"236" "hsa-mir-24-2*" 0 4
"237" "hsa-mir-25" 4 4
"238" "hsa-mir-25*" 0 4
"239" "hsa-mir-26a" 4 4
"240" "hsa-mir-26a-1*" 0 4
"241" "hsa-mir-26a-2*" 0 4
"242" "hsa-mir-26b" 4 4
"243" "hsa-mir-26b*" 0 4
"244" "hsa-mir-27a" 4 4
"245" "hsa-mir-27a*" 0 4
"246" "hsa-mir-27b" 4 4
"247" "hsa-mir-27b*" 0 4
"248" "hsa-mir-28-3p" 0 4
"249" "hsa-mir-28-5p" 3 4
"250" "hsa-mir-296-3p" 0 4
"251" "hsa-mir-296-5p" 0 4
"252" "hsa-mir-297" 0 4
"253" "hsa-mir-298" 0 4
"254" "hsa-mir-299-3p" 0 4
"255" "hsa-mir-299-5p" 0 4
"256" "hsa-mir-29a" 4 4
"257" "hsa-mir-29a*" 0 4
"258" "hsa-mir-29b" 2 4
"259" "hsa-mir-29b-1*" 0 4
"260" "hsa-mir-29b-2*" 0 4
"261" "hsa-mir-29c" 4 4
"262" "hsa-mir-29c*" 0 4
"263" "hsa-mir-300" 0 4
"264" "hsa-mir-301a" 1 4
"265" "hsa-mir-301b" 0 4
"266" "hsa-mir-302a" 0 4
"267" "hsa-mir-302a*" 0 4
"268" "hsa-mir-302b" 0 4
"269" "hsa-mir-302b*" 0 4
"270" "hsa-mir-302c" 0 4
"271" "hsa-mir-302c*" 0 4
"272" "hsa-mir-302d" 0 4
"273" "hsa-mir-302d*" 0 4
"274" "hsa-mir-30a" 3 4
"275" "hsa-mir-30a*" 1 4
"276" "hsa-mir-30b" 3 4
"277" "hsa-mir-30b*" 0 4
"278" "hsa-mir-30c" 4 4
"279" "hsa-mir-30c-1*" 0 4
"280" "hsa-mir-30c-2*" 0 4
"281" "hsa-mir-30d" 4 4
"282" "hsa-mir-30d*" 0 4
"283" "hsa-mir-30e" 2 4
"284" "hsa-mir-30e*" 2 4
"285" "hsa-mir-31" 0 4
"286" "hsa-mir-31*" 0 4
"287" "hsa-mir-32" 0 4
"288" "hsa-mir-32*" 1 4
"289" "hsa-mir-320" 4 4
"290" "hsa-mir-323-3p" 0 4
"291" "hsa-mir-323-5p" 0 4
"292" "hsa-mir-324-3p" 4 4
"293" "hsa-mir-324-5p" 1 4
"294" "hsa-mir-325" 0 4
"295" "hsa-mir-326" 0 4
"296" "hsa-mir-328" 1 4
"297" "hsa-mir-329" 0 4
"298" "hsa-mir-330-3p" 0 4
"299" "hsa-mir-330-5p" 0 4
"300" "hsa-mir-331-3p" 4 4
"301" "hsa-mir-331-5p" 0 4
"302" "hsa-mir-335" 0 4
"303" "hsa-mir-335*" 0 4
"304" "hsa-mir-337-3p" 0 4
"305" "hsa-mir-337-5p" 0 4
"306" "hsa-mir-338-3p" 1 4
"307" "hsa-mir-338-5p" 0 4
"308" "hsa-mir-339-3p" 0 4
"309" "hsa-mir-339-5p" 0 4
"310" "hsa-mir-33a" 0 4
"311" "hsa-mir-33a*" 0 4
"312" "hsa-mir-33b" 0 4
"313" "hsa-mir-33b*" 1 4
"314" "hsa-mir-340" 0 4
"315" "hsa-mir-340*" 0 4
"316" "hsa-mir-342-3p" 4 4
"317" "hsa-mir-342-5p" 0 4
"318" "hsa-mir-345" 0 4
"319" "hsa-mir-346" 0 4
"320" "hsa-mir-34a" 2 4
"321" "hsa-mir-34a*" 0 4
"322" "hsa-mir-34b" 1 4
"323" "hsa-mir-34b*" 1 4
"324" "hsa-mir-34c-3p" 0 4
"325" "hsa-mir-34c-5p" 0 4
"326" "hsa-mir-361-3p" 0 4
"327" "hsa-mir-361-5p" 3 4
"328" "hsa-mir-362-3p" 0 4
"329" "hsa-mir-362-5p" 0 4
"330" "hsa-mir-363" 2 4
"331" "hsa-mir-363*" 0 4
"332" "hsa-mir-365" 4 4
"333" "hsa-mir-367" 0 4
"334" "hsa-mir-367*" 0 4
"335" "hsa-mir-369-3p" 0 4
"336" "hsa-mir-369-5p" 0 4
"337" "hsa-mir-370" 1 4
"338" "hsa-mir-371-3p" 0 4
"339" "hsa-mir-371-5p" 4 4
"340" "hsa-mir-372" 0 4
"341" "hsa-mir-373" 0 4
"342" "hsa-mir-373*" 0 4
"343" "hsa-mir-374a" 2 4
"344" "hsa-mir-374a*" 0 4
"345" "hsa-mir-374b" 2 4
"346" "hsa-mir-374b*" 0 4
"347" "hsa-mir-375" 0 4
"348" "hsa-mir-376a" 1 4
"349" "hsa-mir-376a*" 0 4
"350" "hsa-mir-376b" 0 4
"351" "hsa-mir-376c" 1 4
"352" "hsa-mir-377" 1 4
"353" "hsa-mir-377*" 0 4
"354" "hsa-mir-378" 4 4
"355" "hsa-mir-378*" 1 4
"356" "hsa-mir-379" 0 4
"357" "hsa-mir-379*" 0 4
"358" "hsa-mir-380" 0 4
"359" "hsa-mir-380*" 0 4
"360" "hsa-mir-381" 1 4
"361" "hsa-mir-382" 0 4
"362" "hsa-mir-383" 0 4
"363" "hsa-mir-384" 0 4
"364" "hsa-mir-409-3p" 0 4
"365" "hsa-mir-409-5p" 0 4
"366" "hsa-mir-410" 0 4
"367" "hsa-mir-411" 0 4
"368" "hsa-mir-411*" 0 4
"369" "hsa-mir-412" 0 4
"370" "hsa-mir-421" 0 4
"371" "hsa-mir-422a" 0 4
"372" "hsa-mir-423-3p" 0 4
"373" "hsa-mir-423-5p" 1 4
"374" "hsa-mir-424" 2 4
"375" "hsa-mir-424*" 0 4
"376" "hsa-mir-425" 2 4
"377" "hsa-mir-425*" 0 4
"378" "hsa-mir-429" 0 4
"379" "hsa-mir-431" 0 4
"380" "hsa-mir-431*" 0 4
"381" "hsa-mir-432" 0 4
"382" "hsa-mir-432*" 0 4
"383" "hsa-mir-433" 0 4
"384" "hsa-mir-448" 0 4
"385" "hsa-mir-449a" 0 4
"386" "hsa-mir-449b" 0 4
"387" "hsa-mir-450a" 0 4
"388" "hsa-mir-450b-3p" 0 4
"389" "hsa-mir-450b-5p" 0 4
"390" "hsa-mir-451" 4 4
"391" "hsa-mir-452" 0 4
"392" "hsa-mir-452*" 0 4
