"miR" "bone.marrow" "num_samples"
"1" "hsa-let-7a" 12 13
"2" "hsa-let-7a*" 0 13
"3" "hsa-let-7b" 13 13
"4" "hsa-let-7b*" 0 13
"5" "hsa-let-7c" 12 13
"6" "hsa-let-7c*" 0 13
"7" "hsa-let-7d" 13 13
"8" "hsa-let-7d*" 0 13
"9" "hsa-let-7e" 3 13
"10" "hsa-let-7e*" 0 13
"11" "hsa-let-7f" 13 13
"12" "hsa-let-7f-1*" 0 13
"13" "hsa-let-7f-2*" 0 13
"14" "hsa-let-7g" 13 13
"15" "hsa-let-7g*" 0 13
"16" "hsa-let-7i" 13 13
"17" "hsa-let-7i*" 0 13
"18" "hsa-mir-1" 0 13
"19" "hsa-mir-100" 0 13
"20" "hsa-mir-100*" 0 13
"21" "hsa-mir-101" 12 13
"22" "hsa-mir-101*" 0 13
"23" "hsa-mir-103" 12 13
"24" "hsa-mir-105" 0 13
"25" "hsa-mir-105*" 0 13
"26" "hsa-mir-106a" 12 13
"27" "hsa-mir-106a*" 0 13
"28" "hsa-mir-106b" 13 13
"29" "hsa-mir-106b*" 0 13
"30" "hsa-mir-107" 13 13
"31" "hsa-mir-10a" 1 13
"32" "hsa-mir-10a*" 0 13
"33" "hsa-mir-10b" 0 13
"34" "hsa-mir-10b*" 0 13
"35" "hsa-mir-122" 0 13
"36" "hsa-mir-122*" 0 13
"37" "hsa-mir-1224-3p" 0 13
"38" "hsa-mir-1224-5p" 4 13
"39" "hsa-mir-1225-3p" 0 13
"40" "hsa-mir-1225-5p" 13 13
"41" "hsa-mir-1226" 0 13
"42" "hsa-mir-1226*" 1 13
"43" "hsa-mir-1227" 0 13
"44" "hsa-mir-1228" 5 13
"45" "hsa-mir-1228*" 0 13
"46" "hsa-mir-1229" 0 13
"47" "hsa-mir-1231" 0 13
"48" "hsa-mir-1233" 0 13
"49" "hsa-mir-1234" 2 13
"50" "hsa-mir-1236" 0 13
"51" "hsa-mir-1237" 0 13
"52" "hsa-mir-1238" 0 13
"53" "hsa-mir-124" 0 13
"54" "hsa-mir-124*" 0 13
"55" "hsa-mir-125a-3p" 10 13
"56" "hsa-mir-125a-5p" 1 13
"57" "hsa-mir-125b" 3 13
"58" "hsa-mir-125b-1*" 0 13
"59" "hsa-mir-125b-2*" 1 13
"60" "hsa-mir-126" 11 13
"61" "hsa-mir-126*" 2 13
"62" "hsa-mir-127-3p" 0 13
"63" "hsa-mir-127-5p" 0 13
"64" "hsa-mir-128" 8 13
"65" "hsa-mir-129-3p" 0 13
"66" "hsa-mir-129-5p" 0 13
"67" "hsa-mir-129*" 0 13
"68" "hsa-mir-130a" 11 13
"69" "hsa-mir-130a*" 0 13
"70" "hsa-mir-130b" 9 13
"71" "hsa-mir-130b*" 0 13
"72" "hsa-mir-132" 0 13
"73" "hsa-mir-132*" 0 13
"74" "hsa-mir-133a" 0 13
"75" "hsa-mir-133b" 0 13
"76" "hsa-mir-134" 8 13
"77" "hsa-mir-135a" 0 13
"78" "hsa-mir-135a*" 3 13
"79" "hsa-mir-135b" 0 13
"80" "hsa-mir-135b*" 0 13
"81" "hsa-mir-136" 0 13
"82" "hsa-mir-136*" 0 13
"83" "hsa-mir-137" 0 13
"84" "hsa-mir-138" 0 13
"85" "hsa-mir-138-1*" 0 13
"86" "hsa-mir-138-2*" 4 13
"87" "hsa-mir-139-3p" 0 13
"88" "hsa-mir-139-5p" 0 13
"89" "hsa-mir-140-3p" 13 13
"90" "hsa-mir-140-5p" 12 13
"91" "hsa-mir-141" 1 13
"92" "hsa-mir-141*" 0 13
"93" "hsa-mir-142-3p" 13 13
"94" "hsa-mir-142-5p" 13 13
"95" "hsa-mir-143" 3 13
"96" "hsa-mir-143*" 0 13
"97" "hsa-mir-144" 6 13
"98" "hsa-mir-144*" 0 13
"99" "hsa-mir-145" 8 13
"100" "hsa-mir-145*" 0 13
"101" "hsa-mir-146a" 10 13
"102" "hsa-mir-146a*" 0 13
"103" "hsa-mir-146b-3p" 0 13
"104" "hsa-mir-146b-5p" 11 13
"105" "hsa-mir-147" 0 13
"106" "hsa-mir-147b" 0 13
"107" "hsa-mir-148a" 11 13
"108" "hsa-mir-148a*" 0 13
"109" "hsa-mir-148b" 7 13
"110" "hsa-mir-148b*" 0 13
"111" "hsa-mir-149" 0 13
"112" "hsa-mir-149*" 0 13
"113" "hsa-mir-150" 13 13
"114" "hsa-mir-150*" 4 13
"115" "hsa-mir-151-3p" 2 13
"116" "hsa-mir-151-5p" 5 13
"117" "hsa-mir-152" 0 13
"118" "hsa-mir-153" 0 13
"119" "hsa-mir-154" 0 13
"120" "hsa-mir-154*" 0 13
"121" "hsa-mir-155" 12 13
"122" "hsa-mir-155*" 0 13
"123" "hsa-mir-15a" 13 13
"124" "hsa-mir-15a*" 0 13
"125" "hsa-mir-15b" 13 13
"126" "hsa-mir-15b*" 0 13
"127" "hsa-mir-16" 13 13
"128" "hsa-mir-16-1*" 0 13
"129" "hsa-mir-16-2*" 3 13
"130" "hsa-mir-17" 13 13
"131" "hsa-mir-17*" 6 13
"132" "hsa-mir-181a" 13 13
"133" "hsa-mir-181a-2*" 1 13
"134" "hsa-mir-181a*" 6 13
"135" "hsa-mir-181b" 11 13
"136" "hsa-mir-181c" 5 13
"137" "hsa-mir-181c*" 0 13
"138" "hsa-mir-181d" 5 13
"139" "hsa-mir-182" 0 13
"140" "hsa-mir-182*" 0 13
"141" "hsa-mir-183" 0 13
"142" "hsa-mir-183*" 0 13
"143" "hsa-mir-184" 0 13
"144" "hsa-mir-185" 12 13
"145" "hsa-mir-185*" 0 13
"146" "hsa-mir-186" 8 13
"147" "hsa-mir-186*" 0 13
"148" "hsa-mir-187" 0 13
"149" "hsa-mir-187*" 0 13
"150" "hsa-mir-188-3p" 0 13
"151" "hsa-mir-188-5p" 6 13
"152" "hsa-mir-18a" 11 13
"153" "hsa-mir-18a*" 0 13
"154" "hsa-mir-18b" 5 13
"155" "hsa-mir-18b*" 0 13
"156" "hsa-mir-190" 0 13
"157" "hsa-mir-190b" 0 13
"158" "hsa-mir-191" 2 13
"159" "hsa-mir-191*" 0 13
"160" "hsa-mir-192" 2 13
"161" "hsa-mir-192*" 0 13
"162" "hsa-mir-193a-3p" 4 13
"163" "hsa-mir-193a-5p" 0 13
"164" "hsa-mir-193b" 1 13
"165" "hsa-mir-193b*" 0 13
"166" "hsa-mir-194" 1 13
"167" "hsa-mir-194*" 0 13
"168" "hsa-mir-195" 4 13
"169" "hsa-mir-195*" 0 13
"170" "hsa-mir-196a" 0 13
"171" "hsa-mir-196a*" 0 13
"172" "hsa-mir-196b" 1 13
"173" "hsa-mir-197" 8 13
"174" "hsa-mir-198" 0 13
"175" "hsa-mir-199a-5p" 0 13
"176" "hsa-mir-199b-3p" 10 13
"177" "hsa-mir-199b-5p" 8 13
"178" "hsa-mir-19a" 13 13
"179" "hsa-mir-19a*" 0 13
"180" "hsa-mir-19b" 13 13
"181" "hsa-mir-19b-1*" 0 13
"182" "hsa-mir-19b-2*" 0 13
"183" "hsa-mir-200a" 0 13
