"miR" "kidney" "num_samples"
"1" "hsa-let-7a" 3 3
"2" "hsa-let-7a*" 0 3
"3" "hsa-let-7b" 3 3
"4" "hsa-let-7b*" 0 3
"5" "hsa-let-7c" 3 3
"6" "hsa-let-7c*" 0 3
"7" "hsa-let-7d" 3 3
"8" "hsa-let-7d*" 1 3
"9" "hsa-let-7e" 3 3
"10" "hsa-let-7e*" 0 3
"11" "hsa-let-7f" 3 3
"12" "hsa-let-7f-1*" 0 3
"13" "hsa-let-7f-2*" 0 3
"14" "hsa-let-7g" 3 3
"15" "hsa-let-7g*" 0 3
"16" "hsa-let-7i" 3 3
"17" "hsa-let-7i*" 0 3
"18" "hsa-mir-1" 0 3
"19" "hsa-mir-100" 3 3
"20" "hsa-mir-100*" 0 3
"21" "hsa-mir-101" 0 3
"22" "hsa-mir-101*" 0 3
"23" "hsa-mir-103" 3 3
"24" "hsa-mir-103-as" 0 3
"25" "hsa-mir-105" 0 3
"26" "hsa-mir-105*" 0 3
"27" "hsa-mir-106a*" 0 3
"28" "hsa-mir-106b" 3 3
"29" "hsa-mir-106b*" 0 3
"30" "hsa-mir-107" 3 3
"31" "hsa-mir-10a" 3 3
"32" "hsa-mir-10a*" 0 3
"33" "hsa-mir-10b" 3 3
"34" "hsa-mir-10b*" 0 3
"35" "hsa-mir-1178" 0 3
"36" "hsa-mir-1179" 0 3
"37" "hsa-mir-1180" 0 3
"38" "hsa-mir-1181" 0 3
"39" "hsa-mir-1182" 0 3
"40" "hsa-mir-1183" 0 3
"41" "hsa-mir-1184" 0 3
"42" "hsa-mir-1185" 0 3
"43" "hsa-mir-1197" 0 3
"44" "hsa-mir-1200" 0 3
"45" "hsa-mir-1201" 0 3
"46" "hsa-mir-1202" 3 3
"47" "hsa-mir-1203" 0 3
"48" "hsa-mir-1204" 0 3
"49" "hsa-mir-1205" 0 3
"50" "hsa-mir-1206" 0 3
"51" "hsa-mir-1207-3p" 0 3
"52" "hsa-mir-1207-5p" 3 3
"53" "hsa-mir-1208" 0 3
"54" "hsa-mir-122" 0 3
"55" "hsa-mir-122*" 0 3
"56" "hsa-mir-1224-3p" 0 3
"57" "hsa-mir-1224-5p" 1 3
"58" "hsa-mir-1225-3p" 0 3
"59" "hsa-mir-1225-5p" 3 3
"60" "hsa-mir-1226" 0 3
"61" "hsa-mir-1226*" 0 3
"62" "hsa-mir-1227" 0 3
"63" "hsa-mir-1228" 0 3
"64" "hsa-mir-1228*" 0 3
"65" "hsa-mir-1229" 0 3
"66" "hsa-mir-1231" 0 3
"67" "hsa-mir-1233" 0 3
"68" "hsa-mir-1234" 1 3
"69" "hsa-mir-1236" 0 3
"70" "hsa-mir-1237" 0 3
"71" "hsa-mir-1238" 0 3
"72" "hsa-mir-124" 0 3
"73" "hsa-mir-124*" 0 3
"74" "hsa-mir-1243" 0 3
"75" "hsa-mir-1244" 0 3
"76" "hsa-mir-1245" 0 3
"77" "hsa-mir-1246" 1 3
"78" "hsa-mir-1247" 0 3
"79" "hsa-mir-1248" 0 3
"80" "hsa-mir-1249" 0 3
"81" "hsa-mir-1250" 0 3
"82" "hsa-mir-1251" 0 3
"83" "hsa-mir-1252" 0 3
"84" "hsa-mir-1253" 0 3
"85" "hsa-mir-1254" 0 3
"86" "hsa-mir-1255a" 0 3
"87" "hsa-mir-1255b" 0 3
"88" "hsa-mir-1256" 0 3
"89" "hsa-mir-1257" 0 3
"90" "hsa-mir-1258" 0 3
"91" "hsa-mir-1259" 0 3
"92" "hsa-mir-125a-3p" 0 3
"93" "hsa-mir-125a-5p" 3 3
"94" "hsa-mir-125b" 3 3
"95" "hsa-mir-125b-1*" 0 3
"96" "hsa-mir-125b-2*" 0 3
"97" "hsa-mir-126" 3 3
"98" "hsa-mir-126*" 0 3
"99" "hsa-mir-1260" 2 3
"100" "hsa-mir-1261" 0 3
"101" "hsa-mir-1262" 0 3
"102" "hsa-mir-1263" 0 3
