"miR" "mammary.gland" "num_samples"
"1" "hsa-let-7a" 15 15
"2" "hsa-let-7a*" 3 15
"3" "hsa-let-7b" 15 15
"4" "hsa-let-7b*" 2 15
"5" "hsa-let-7c" 15 15
"6" "hsa-let-7c*" 0 15
"7" "hsa-let-7d" 15 15
"8" "hsa-let-7d*" 4 15
"9" "hsa-let-7e" 15 15
"10" "hsa-let-7e*" 2 15
"11" "hsa-let-7f" 15 15
"12" "hsa-let-7f-1*" 1 15
"13" "hsa-let-7f-2*" 0 15
"14" "hsa-let-7g" 15 15
"15" "hsa-let-7g*" 0 15
"16" "hsa-let-7i" 15 15
"17" "hsa-let-7i*" 0 15
"18" "hsa-mir-1" 11 15
"19" "hsa-mir-100" 15 15
"20" "hsa-mir-100*" 0 15
"21" "hsa-mir-101" 15 15
"22" "hsa-mir-101*" 2 15
"23" "hsa-mir-103" 15 15
"24" "hsa-mir-103-as" 0 15
"25" "hsa-mir-105" 0 15
"26" "hsa-mir-105*" 0 15
"27" "hsa-mir-106a*" 0 15
"28" "hsa-mir-106b" 15 15
"29" "hsa-mir-106b*" 0 15
"30" "hsa-mir-107" 15 15
"31" "hsa-mir-10a" 15 15
"32" "hsa-mir-10a*" 0 15
"33" "hsa-mir-10b" 15 15
"34" "hsa-mir-10b*" 11 15
"35" "hsa-mir-1178" 0 15
"36" "hsa-mir-1179" 0 15
"37" "hsa-mir-1180" 0 15
"38" "hsa-mir-1181" 15 15
"39" "hsa-mir-1182" 7 15
"40" "hsa-mir-1183" 12 15
"41" "hsa-mir-1184" 0 15
"42" "hsa-mir-1185" 4 15
"43" "hsa-mir-1197" 0 15
"44" "hsa-mir-1200" 0 15
"45" "hsa-mir-1201" 0 15
"46" "hsa-mir-1202" 15 15
"47" "hsa-mir-1203" 1 15
"48" "hsa-mir-1204" 0 15
"49" "hsa-mir-1205" 0 15
"50" "hsa-mir-1206" 0 15
"51" "hsa-mir-1207-3p" 0 15
"52" "hsa-mir-1207-5p" 15 15
"53" "hsa-mir-1208" 1 15
"54" "hsa-mir-122" 0 15
"55" "hsa-mir-122*" 0 15
"56" "hsa-mir-1224-3p" 0 15
"57" "hsa-mir-1224-5p" 15 15
"58" "hsa-mir-1225-3p" 8 15
"59" "hsa-mir-1225-5p" 15 15
"60" "hsa-mir-1226" 0 15
"61" "hsa-mir-1226*" 13 15
"62" "hsa-mir-1227" 0 15
"63" "hsa-mir-1228" 15 15
"64" "hsa-mir-1228*" 0 15
"65" "hsa-mir-1229" 3 15
"66" "hsa-mir-1231" 0 15
"67" "hsa-mir-1233" 0 15
"68" "hsa-mir-1234" 14 15
"69" "hsa-mir-1236" 0 15
"70" "hsa-mir-1237" 2 15
"71" "hsa-mir-1238" 10 15
"72" "hsa-mir-124" 1 15
"73" "hsa-mir-124*" 0 15
"74" "hsa-mir-1243" 0 15
"75" "hsa-mir-1244" 0 15
"76" "hsa-mir-1245" 0 15
"77" "hsa-mir-1246" 13 15
"78" "hsa-mir-1247" 0 15
"79" "hsa-mir-1248" 0 15
"80" "hsa-mir-1249" 14 15
"81" "hsa-mir-1250" 0 15
"82" "hsa-mir-1251" 0 15
"83" "hsa-mir-1252" 0 15
"84" "hsa-mir-1253" 0 15
"85" "hsa-mir-1254" 0 15
"86" "hsa-mir-1255a" 0 15
"87" "hsa-mir-1255b" 0 15
"88" "hsa-mir-1256" 0 15
"89" "hsa-mir-1257" 0 15
"90" "hsa-mir-1258" 0 15
"91" "hsa-mir-1259" 0 15
"92" "hsa-mir-125a-3p" 14 15
"93" "hsa-mir-125a-5p" 15 15
"94" "hsa-mir-125b" 15 15
"95" "hsa-mir-125b-1*" 0 15
"96" "hsa-mir-125b-2*" 15 15
"97" "hsa-mir-126" 15 15
"98" "hsa-mir-126*" 15 15
"99" "hsa-mir-1260" 14 15
"100" "hsa-mir-1261" 0 15
"101" "hsa-mir-1262" 0 15
"102" "hsa-mir-1263" 0 15
"103" "hsa-mir-1264" 0 15
"104" "hsa-mir-1265" 0 15
"105" "hsa-mir-1266" 0 15
"106" "hsa-mir-1267" 0 15
"107" "hsa-mir-1268" 15 15
"108" "hsa-mir-1269" 0 15
"109" "hsa-mir-127-3p" 15 15
"110" "hsa-mir-127-5p" 0 15
"111" "hsa-mir-1270" 0 15
"112" "hsa-mir-1271" 8 15
"113" "hsa-mir-1272" 0 15
"114" "hsa-mir-1273" 0 15
"115" "hsa-mir-1274a" 14 15
"116" "hsa-mir-1274b" 15 15
"117" "hsa-mir-1275" 15 15
"118" "hsa-mir-1276" 0 15
"119" "hsa-mir-1277" 0 15
"120" "hsa-mir-1278" 0 15
"121" "hsa-mir-1279" 0 15
"122" "hsa-mir-128" 14 15
"123" "hsa-mir-1280" 13 15
"124" "hsa-mir-1281" 4 15
"125" "hsa-mir-1282" 0 15
"126" "hsa-mir-1283" 0 15
"127" "hsa-mir-1284" 0 15
"128" "hsa-mir-1285" 1 15
"129" "hsa-mir-1286" 0 15
"130" "hsa-mir-1287" 3 15
"131" "hsa-mir-1288" 2 15
"132" "hsa-mir-1289" 0 15
"133" "hsa-mir-129-3p" 4 15
"134" "hsa-mir-129-5p" 0 15
"135" "hsa-mir-129*" 0 15
"136" "hsa-mir-1290" 9 15
"137" "hsa-mir-1291" 0 15
"138" "hsa-mir-1292" 0 15
"139" "hsa-mir-1293" 0 15
"140" "hsa-mir-1294" 0 15
"141" "hsa-mir-1295" 0 15
"142" "hsa-mir-1296" 0 15
"143" "hsa-mir-1297" 0 15
"144" "hsa-mir-1298" 0 15
"145" "hsa-mir-1299" 1 15
"147" "hsa-mir-1301" 0 15
"148" "hsa-mir-1302" 0 15
"149" "hsa-mir-1303" 0 15
"150" "hsa-mir-1304" 0 15
"151" "hsa-mir-1305" 13 15
"152" "hsa-mir-1306" 0 15
"153" "hsa-mir-1307" 0 15
"154" "hsa-mir-1308" 15 15
"155" "hsa-mir-130a" 15 15
"156" "hsa-mir-130a*" 0 15
"157" "hsa-mir-130b" 12 15
"158" "hsa-mir-130b*" 0 15
