"miR" "melanoma" "sample_num"
"1" "hsa-miR-539-5p" 4 57
"2" "hsa-miR-4661-5p" 26 57
"3" "hsa-miR-6799-3p" 0 57
"4" "hsa-miR-4684-5p" 0 57
"5" "hsa-miR-3651" 44 57
"6" "hsa-miR-3653" 0 57
"7" "hsa-miR-3652" 0 57
"8" "hsa-miR-3654" 0 57
"9" "hsa-miR-3655" 0 57
"10" "hsa-miR-4755-5p" 1 57
"11" "hsa-miR-411-3p" 8 57
"12" "hsa-miR-3656" 0 57
"13" "hsa-miR-3657" 0 57
"14" "hsa-miR-3658" 0 57
"15" "hsa-miR-3659" 5 57
"16" "hsa-miR-6855-5p" 0 57
"17" "hsa-miR-4796-5p" 0 57
"18" "hsa-miR-200a-5p" 3 57
"19" "hsa-miR-585-3p" 5 57
"20" "hsa-miR-374a-5p" 57 57
"21" "hsa-miR-6806-5p" 0 57
"22" "hsa-miR-203b-3p" 0 57
"24" "hsa-miR-5009-5p" 1 57
"25" "hsa-miR-589-5p" 57 57
"26" "hsa-miR-2110" 55 57
"27" "hsa-miR-4787-5p" 16 57
"28" "hsa-miR-2113" 0 57
"29" "hsa-miR-629-5p" 57 57
"30" "hsa-miR-4715-5p" 0 57
"31" "hsa-miR-6784-5p" 0 57
"32" "hsa-miR-1185-1-3p" 8 57
"33" "hsa-miR-6808-5p" 0 57
"34" "hsa-miR-6857-3p" 1 57
"35" "hsa-miR-548ar-5p" 2 57
"36" "hsa-miR-3648" 8 57
"37" "hsa-miR-7114-5p" 0 57
"38" "hsa-miR-642b-5p" 0 57
"39" "hsa-miR-4477b" 1 57
"40" "hsa-miR-376a-5p" 3 57
"41" "hsa-miR-6828-3p" 0 57
"42" "hsa-miR-4477a" 2 57
"43" "hsa-miR-518c-5p" 3 57
"44" "hsa-miR-4684-3p" 0 57
"45" "hsa-miR-5191" 0 57
"46" "hsa-miR-6799-5p" 0 57
"47" "hsa-miR-539-3p" 12 57
"48" "hsa-miR-5190" 1 57
"49" "hsa-miR-5193" 0 57
"50" "hsa-miR-6793-5p" 0 57
"51" "hsa-miR-5194" 0 57
"52" "hsa-miR-4639-5p" 2 57
"53" "hsa-miR-3672" 0 57
"54" "hsa-miR-3674" 0 57
"55" "hsa-miR-3671" 0 57
"56" "hsa-miR-6855-3p" 0 57
"57" "hsa-miR-6837-5p" 0 57
"58" "hsa-miR-411-5p" 19 57
"59" "hsa-miR-6501-5p" 1 57
"60" "hsa-miR-518a-3p" 5 57
"61" "hsa-miR-518b" 5 57
"62" "hsa-miR-200a-3p" 6 57
"63" "hsa-miR-4755-3p" 4 57
"64" "hsa-miR-374a-3p" 57 57
"65" "hsa-miR-6806-3p" 1 57
"66" "hsa-miR-5186" 0 57
"67" "hsa-miR-6810-5p" 0 57
"68" "hsa-miR-199b-5p" 47 57
"69" "hsa-miR-3662" 0 57
"70" "hsa-miR-5188" 0 57
"71" "hsa-miR-3661" 48 57
"72" "hsa-miR-3660" 2 57
"73" "hsa-miR-4652-5p" 2 57
"74" "hsa-miR-4715-3p" 0 57
"75" "hsa-miR-3669" 0 57
"76" "hsa-miR-3668" 0 57
"77" "hsa-miR-6784-3p" 3 57
"78" "hsa-miR-3665" 0 57
"79" "hsa-miR-504-5p" 47 57
"80" "hsa-miR-376a-3p" 5 57
"81" "hsa-miR-300" 0 57
"82" "hsa-miR-493-3p" 10 57
"83" "hsa-miR-518c-3p" 5 57
"84" "hsa-miR-7114-3p" 3 57
"85" "hsa-let-7g-3p" 47 57
"86" "hsa-miR-6767-3p" 0 57
"87" "hsa-miR-4650-5p" 0 57
"88" "hsa-miR-16-5p" 57 57
"89" "hsa-miR-2115-5p" 0 57
"90" "hsa-miR-6892-5p" 10 57
"91" "hsa-miR-5588-5p" 2 57
"92" "hsa-miR-3618" 0 57
"93" "hsa-miR-4766-5p" 0 57
"94" "hsa-miR-6787-3p" 2 57
"95" "hsa-miR-3611" 6 57
"96" "hsa-miR-4802-5p" 0 57
"97" "hsa-miR-3610" 0 57
"98" "hsa-miR-4423-5p" 9 57
"99" "hsa-miR-4433b-3p" 0 57
"100" "hsa-miR-3612" 0 57
"101" "hsa-miR-6506-5p" 0 57
"102" "hsa-miR-3615" 57 57
"103" "hsa-miR-6501-3p" 0 57
"104" "hsa-miR-7151-5p" 0 57
"105" "hsa-miR-5003-5p" 0 57
"106" "hsa-miR-4652-3p" 0 57
"107" "hsa-miR-6810-3p" 1 57
"109" "hsa-miR-5010-5p" 0 57
"110" "hsa-miR-3619-3p" 0 57
"111" "hsa-miR-6716-5p" 0 57
"112" "hsa-miR-7845-5p" 0 57
"113" "hsa-miR-3689a-3p" 0 57
"114" "hsa-miR-6747-3p" 7 57
"115" "hsa-miR-4704-5p" 0 57
"116" "hsa-miR-3609" 42 57
"117" "hsa-miR-4749-5p" 0 57
"118" "hsa-miR-493-5p" 11 57
"119" "hsa-miR-509-5p" 42 57
"120" "hsa-miR-4726-5p" 0 57
"121" "hsa-miR-325" 0 57
"122" "hsa-miR-326" 53 57
"123" "hsa-miR-4650-3p" 0 57
"124" "hsa-miR-551b-5p" 15 57
"125" "hsa-miR-513a-5p" 41 57
"126" "hsa-miR-4661-3p" 2 57
"127" "hsa-miR-5588-3p" 0 57
"128" "hsa-miR-4796-3p" 1 57
"129" "hsa-miR-585-5p" 2 57
"130" "hsa-miR-99b-3p" 55 57
"131" "hsa-miR-1251-5p" 0 57
"132" "hsa-miR-5003-3p" 0 57
"133" "hsa-miR-215-5p" 55 57
"134" "hsa-miR-4433b-5p" 0 57
"135" "hsa-miR-6782-5p" 0 57
"136" "hsa-miR-4802-3p" 0 57
"137" "hsa-miR-6782-3p" 0 57
"138" "hsa-miR-1255b-2-3p" 0 57
"139" "hsa-miR-4787-3p" 10 57
"140" "hsa-miR-5010-3p" 43 57
"141" "hsa-miR-6733-5p" 0 57
"142" "hsa-miR-520f-3p" 1 57
"143" "hsa-miR-100-3p" 47 57
"144" "hsa-miR-3688-3p" 2 57
"145" "hsa-miR-3150a-5p" 5 57
"146" "hsa-miR-1228-5p" 0 57
"147" "hsa-miR-4803" 0 57
"148" "hsa-miR-346" 2 57
"149" "hsa-miR-4704-3p" 0 57
"150" "hsa-miR-6820-3p" 0 57
"151" "hsa-miR-4749-3p" 1 57
"152" "hsa-miR-6803-3p" 15 57
