"miR" "ovary" "num_samples"
"1" "hsa-let-7a" 3 5
"2" "hsa-let-7a*" 0 5
"3" "hsa-let-7b" 5 5
"4" "hsa-let-7b*" 0 5
"5" "hsa-let-7c" 3 5
"6" "hsa-let-7c*" 0 5
"7" "hsa-let-7d" 2 5
"8" "hsa-let-7d*" 2 5
"9" "hsa-let-7e" 0 5
"10" "hsa-let-7e*" 0 5
"11" "hsa-let-7f" 3 5
"12" "hsa-let-7f-1*" 0 5
"13" "hsa-let-7f-2*" 0 5
"14" "hsa-let-7g" 5 5
"15" "hsa-let-7g*" 0 5
"16" "hsa-let-7i" 5 5
"17" "hsa-let-7i*" 0 5
"18" "hsa-mir-1" 0 5
"19" "hsa-mir-100" 0 5
"20" "hsa-mir-100*" 0 5
"21" "hsa-mir-101" 5 5
"22" "hsa-mir-101*" 0 5
"23" "hsa-mir-103" 5 5
"24" "hsa-mir-103-2*" 0 5
"25" "hsa-mir-103-as" 0 5
"26" "hsa-mir-105" 0 5
"27" "hsa-mir-105*" 0 5
"28" "hsa-mir-106a*" 0 5
"29" "hsa-mir-106b" 5 5
"30" "hsa-mir-106b*" 0 5
"31" "hsa-mir-107" 5 5
"32" "hsa-mir-10a" 0 5
"33" "hsa-mir-10a*" 0 5
"34" "hsa-mir-10b" 1 5
"35" "hsa-mir-10b*" 0 5
"36" "hsa-mir-1178" 0 5
"37" "hsa-mir-1179" 0 5
"38" "hsa-mir-1180" 0 5
"39" "hsa-mir-1181" 4 5
"40" "hsa-mir-1182" 4 5
"41" "hsa-mir-1183" 3 5
"42" "hsa-mir-1184" 0 5
"43" "hsa-mir-1185" 0 5
"44" "hsa-mir-1197" 0 5
"45" "hsa-mir-1200" 0 5
"47" "hsa-mir-1202" 5 5
"48" "hsa-mir-1203" 0 5
"49" "hsa-mir-1204" 0 5
"50" "hsa-mir-1205" 0 5
"51" "hsa-mir-1206" 0 5
"52" "hsa-mir-1207-3p" 0 5
"53" "hsa-mir-1207-5p" 5 5
"54" "hsa-mir-1208" 0 5
"55" "hsa-mir-122" 5 5
"56" "hsa-mir-122*" 0 5
"57" "hsa-mir-1224-3p" 0 5
"58" "hsa-mir-1224-5p" 5 5
"59" "hsa-mir-1225-3p" 1 5
"60" "hsa-mir-1225-5p" 5 5
"61" "hsa-mir-1226" 0 5
"62" "hsa-mir-1226*" 4 5
"63" "hsa-mir-1227" 0 5
"64" "hsa-mir-1228" 3 5
"65" "hsa-mir-1228*" 0 5
"66" "hsa-mir-1229" 0 5
"67" "hsa-mir-1231" 0 5
"68" "hsa-mir-1233" 0 5
"69" "hsa-mir-1234" 3 5
"70" "hsa-mir-1236" 0 5
"71" "hsa-mir-1237" 0 5
"72" "hsa-mir-1238" 2 5
"73" "hsa-mir-124" 0 5
"74" "hsa-mir-124*" 0 5
"75" "hsa-mir-1243" 0 5
"76" "hsa-mir-1244" 0 5
"77" "hsa-mir-1245" 0 5
"78" "hsa-mir-1246" 5 5
"79" "hsa-mir-1247" 0 5
"80" "hsa-mir-1248" 0 5
"81" "hsa-mir-1249" 4 5
"82" "hsa-mir-1250" 0 5
"83" "hsa-mir-1251" 0 5
"84" "hsa-mir-1252" 0 5
"85" "hsa-mir-1253" 0 5
"86" "hsa-mir-1254" 0 5
"87" "hsa-mir-1255a" 0 5
"88" "hsa-mir-1255b" 0 5
"89" "hsa-mir-1256" 0 5
"90" "hsa-mir-1257" 0 5
