"miR" "placenta" "num_samples"
"1" "hsa-let-7a" 5 5
"2" "hsa-let-7b" 5 5
"3" "hsa-let-7c" 5 5
"4" "hsa-let-7d" 5 5
"5" "hsa-let-7e" 5 5
"6" "hsa-let-7f" 5 5
"7" "hsa-let-7g" 4 5
"8" "hsa-let-7i" 5 5
"9" "hsa-mir-1" 5 5
"10" "hsa-mir-100" 5 5
"11" "hsa-mir-101" 5 5
"12" "hsa-mir-103" 5 5
"13" "hsa-mir-105" 0 5
"14" "hsa-mir-106a" 5 5
"15" "hsa-mir-106b" 5 5
"16" "hsa-mir-107" 5 5
"17" "hsa-mir-10a" 5 5
"18" "hsa-mir-10b" 5 5
"19" "hsa-mir-122a" 0 5
"20" "hsa-mir-124a" 0 5
"21" "hsa-mir-125a" 5 5
"22" "hsa-mir-125b" 5 5
"23" "hsa-mir-126" 5 5
"24" "hsa-mir-126*" 5 5
"25" "hsa-mir-127" 5 5
"26" "hsa-mir-128a" 1 5
"27" "hsa-mir-128b" 2 5
"28" "hsa-mir-129" 1 5
"29" "hsa-mir-130a" 5 5
"30" "hsa-mir-130b" 5 5
"31" "hsa-mir-132" 4 5
"32" "hsa-mir-133a" 5 5
"33" "hsa-mir-133b" 5 5
"34" "hsa-mir-134" 4 5
"35" "hsa-mir-135a" 0 5
"36" "hsa-mir-135b" 4 5
"37" "hsa-mir-136" 5 5
"38" "hsa-mir-137" 2 5
"39" "hsa-mir-138" 3 5
"40" "hsa-mir-139" 3 5
"41" "hsa-mir-140" 5 5
"42" "hsa-mir-141" 5 5
"43" "hsa-mir-142-3p" 5 5
"44" "hsa-mir-142-5p" 5 5
"45" "hsa-mir-143" 5 5
"46" "hsa-mir-144" 5 5
"47" "hsa-mir-145" 5 5
"48" "hsa-mir-146a" 3 5
"49" "hsa-mir-146b" 4 5
"50" "hsa-mir-147" 0 5
"51" "hsa-mir-148a" 5 5
"52" "hsa-mir-148b" 5 5
"53" "hsa-mir-149" 5 5
"54" "hsa-mir-150" 2 5
"55" "hsa-mir-151" 5 5
"56" "hsa-mir-152" 5 5
"57" "hsa-mir-153" 0 5
"58" "hsa-mir-154" 5 5
"59" "hsa-mir-154*" 5 5
"60" "hsa-mir-155" 5 5
"61" "hsa-mir-15a" 5 5
"62" "hsa-mir-15b" 5 5
"63" "hsa-mir-16" 5 5
"64" "hsa-mir-17-3p" 5 5
"65" "hsa-mir-17-5p" 5 5
"66" "hsa-mir-181a" 5 5
"67" "hsa-mir-181a*" 1 5
"68" "hsa-mir-181b" 5 5
"69" "hsa-mir-181c" 5 5
"70" "hsa-mir-181d" 4 5
"71" "hsa-mir-182" 4 5
"72" "hsa-mir-182*" 0 5
"73" "hsa-mir-183" 1 5
"74" "hsa-mir-184" 4 5
"75" "hsa-mir-185" 5 5
"76" "hsa-mir-186" 5 5
"77" "hsa-mir-187" 0 5
"78" "hsa-mir-188" 5 5
"79" "hsa-mir-189" 2 5
"80" "hsa-mir-18a" 5 5
"81" "hsa-mir-18a*" 1 5
"82" "hsa-mir-18b" 1 5
"83" "hsa-mir-190" 0 5
"84" "hsa-mir-191" 4 5
"85" "hsa-mir-191*" 3 5
"86" "hsa-mir-192" 5 5
"87" "hsa-mir-193a" 5 5
"88" "hsa-mir-193b" 5 5
"89" "hsa-mir-194" 5 5
"90" "hsa-mir-195" 5 5
"91" "hsa-mir-196a" 1 5
"92" "hsa-mir-196b" 4 5
"93" "hsa-mir-197" 4 5
"94" "hsa-mir-198" 5 5
"95" "hsa-mir-199a" 5 5
"96" "hsa-mir-199a*" 5 5
"97" "hsa-mir-199b" 5 5
"98" "hsa-mir-19a" 5 5
"99" "hsa-mir-19b" 5 5
"100" "hsa-mir-200a" 0 5
"101" "hsa-mir-200a*" 0 5
"102" "hsa-mir-200b" 1 5
"103" "hsa-mir-200c" 5 5
"104" "hsa-mir-202" 5 5
"105" "hsa-mir-202*" 0 5
"106" "hsa-mir-203" 5 5
"107" "hsa-mir-204" 5 5
"108" "hsa-mir-205" 5 5
"109" "hsa-mir-206" 0 5
"110" "hsa-mir-208" 0 5
"111" "hsa-mir-20a" 5 5
"112" "hsa-mir-20b" 5 5
"113" "hsa-mir-21" 5 5
"114" "hsa-mir-210" 5 5
"115" "hsa-mir-211" 1 5
"116" "hsa-mir-212" 2 5
"117" "hsa-mir-214" 5 5
"118" "hsa-mir-215" 4 5
"119" "hsa-mir-216" 0 5
"120" "hsa-mir-217" 0 5
"121" "hsa-mir-218" 5 5
"122" "hsa-mir-219" 0 5
"123" "hsa-mir-22" 5 5
"124" "hsa-mir-220" 0 5
"125" "hsa-mir-221" 5 5
"126" "hsa-mir-222" 5 5
"127" "hsa-mir-223" 5 5
"128" "hsa-mir-224" 5 5
"129" "hsa-mir-23a" 5 5
"130" "hsa-mir-23b" 5 5
"131" "hsa-mir-24" 5 5
"132" "hsa-mir-25" 5 5
"133" "hsa-mir-26a" 5 5
"134" "hsa-mir-26b" 5 5
"135" "hsa-mir-27a" 5 5
"136" "hsa-mir-27b" 5 5
"137" "hsa-mir-28" 5 5
"138" "hsa-mir-296" 5 5
"139" "hsa-mir-299-3p" 4 5
"140" "hsa-mir-299-5p" 5 5
"141" "hsa-mir-29a" 5 5
"142" "hsa-mir-29b" 5 5
"143" "hsa-mir-29c" 5 5
