"miR" "prostate" "num_samples"
"1" "hsa-let-7a" 28 28
"2" "hsa-let-7a*" 6 28
"3" "hsa-let-7b" 28 28
"4" "hsa-let-7b*" 25 28
"5" "hsa-let-7c" 28 28
"6" "hsa-let-7c*" 0 28
"7" "hsa-let-7d" 28 28
"8" "hsa-let-7d*" 24 28
"9" "hsa-let-7e" 28 28
"10" "hsa-let-7e*" 5 28
"11" "hsa-let-7f" 28 28
"12" "hsa-let-7f-1*" 21 28
"13" "hsa-let-7f-2*" 1 28
"14" "hsa-let-7g" 28 28
"15" "hsa-let-7g*" 6 28
"16" "hsa-let-7i" 28 28
"17" "hsa-let-7i*" 1 28
"18" "hsa-mir-1" 28 28
"19" "hsa-mir-100" 28 28
"20" "hsa-mir-100*" 0 28
"21" "hsa-mir-101" 28 28
"22" "hsa-mir-101*" 16 28
"23" "hsa-mir-103" 28 28
"24" "hsa-mir-105" 0 28
"25" "hsa-mir-105*" 0 28
"26" "hsa-mir-106a" 25 28
"27" "hsa-mir-106a*" 5 28
"28" "hsa-mir-106b" 28 28
"29" "hsa-mir-106b*" 1 28
"30" "hsa-mir-107" 28 28
"31" "hsa-mir-10a" 25 28
"32" "hsa-mir-10a*" 1 28
"33" "hsa-mir-10b" 28 28
"34" "hsa-mir-10b*" 5 28
"35" "hsa-mir-122" 17 28
"36" "hsa-mir-122*" 0 28
"37" "hsa-mir-1224-3p" 19 28
"38" "hsa-mir-1224-5p" 28 28
"39" "hsa-mir-1225-3p" 18 28
"40" "hsa-mir-1225-5p" 28 28
"41" "hsa-mir-1226" 3 28
"42" "hsa-mir-1226*" 27 28
"43" "hsa-mir-1227" 21 28
"44" "hsa-mir-1228" 28 28
"45" "hsa-mir-1228*" 27 28
"46" "hsa-mir-1229" 19 28
"47" "hsa-mir-1231" 0 28
"48" "hsa-mir-1233" 0 28
"49" "hsa-mir-1234" 28 28
"50" "hsa-mir-1236" 11 28
"51" "hsa-mir-1237" 3 28
"52" "hsa-mir-1238" 18 28
"53" "hsa-mir-124" 0 28
"54" "hsa-mir-124*" 0 28
"55" "hsa-mir-125a-3p" 27 28
"56" "hsa-mir-125a-5p" 28 28
"57" "hsa-mir-125b" 28 28
"58" "hsa-mir-125b-1*" 0 28
"59" "hsa-mir-125b-2*" 28 28
"60" "hsa-mir-126" 28 28
"61" "hsa-mir-126*" 24 28
"62" "hsa-mir-127-3p" 28 28
"63" "hsa-mir-127-5p" 0 28
"64" "hsa-mir-128" 28 28
"65" "hsa-mir-129-3p" 7 28
"66" "hsa-mir-129-5p" 14 28
"67" "hsa-mir-129*" 0 28
"68" "hsa-mir-130a" 28 28
"69" "hsa-mir-130a*" 11 28
"70" "hsa-mir-130b" 28 28
"71" "hsa-mir-130b*" 0 28
"72" "hsa-mir-132" 27 28
"73" "hsa-mir-132*" 11 28
"74" "hsa-mir-133a" 28 28
"75" "hsa-mir-133b" 28 28
"76" "hsa-mir-134" 28 28
"77" "hsa-mir-135a" 27 28
"78" "hsa-mir-135a*" 20 28
"79" "hsa-mir-135b" 18 28
"80" "hsa-mir-135b*" 0 28
"81" "hsa-mir-136" 28 28
"82" "hsa-mir-136*" 23 28
"83" "hsa-mir-137" 1 28
"84" "hsa-mir-138" 0 28
"85" "hsa-mir-138-1*" 0 28
"86" "hsa-mir-138-2*" 12 28
"87" "hsa-mir-139-3p" 14 28
"88" "hsa-mir-139-5p" 27 28
"89" "hsa-mir-140-3p" 28 28
"90" "hsa-mir-140-5p" 28 28
"91" "hsa-mir-141" 28 28
"92" "hsa-mir-141*" 7 28
"93" "hsa-mir-142-3p" 28 28
"94" "hsa-mir-142-5p" 27 28
"95" "hsa-mir-143" 28 28
"96" "hsa-mir-143*" 28 28
"97" "hsa-mir-144" 27 28
"98" "hsa-mir-144*" 0 28
"99" "hsa-mir-145" 28 28
"100" "hsa-mir-145*" 28 28
"101" "hsa-mir-146a" 26 28
"102" "hsa-mir-146a*" 0 28
"103" "hsa-mir-146b-3p" 1 28
"104" "hsa-mir-146b-5p" 23 28
"105" "hsa-mir-147" 1 28
"106" "hsa-mir-147b" 0 28
"107" "hsa-mir-148a" 28 28
"108" "hsa-mir-148a*" 3 28
"109" "hsa-mir-148b" 28 28
"110" "hsa-mir-148b*" 0 28
"111" "hsa-mir-149" 27 28
"112" "hsa-mir-149*" 5 28
"113" "hsa-mir-150" 27 28
"114" "hsa-mir-150*" 28 28
"115" "hsa-mir-151-3p" 28 28
"116" "hsa-mir-151-5p" 28 28
"117" "hsa-mir-152" 26 28
"118" "hsa-mir-153" 6 28
"119" "hsa-mir-154" 16 28
"120" "hsa-mir-154*" 1 28
"121" "hsa-mir-155" 27 28
"122" "hsa-mir-155*" 0 28
"123" "hsa-mir-15a" 28 28
"124" "hsa-mir-15a*" 5 28
"125" "hsa-mir-15b" 28 28
"126" "hsa-mir-15b*" 0 28
"127" "hsa-mir-16" 28 28
"128" "hsa-mir-16-1*" 4 28
"129" "hsa-mir-16-2*" 10 28
"130" "hsa-mir-17" 28 28
"131" "hsa-mir-17*" 22 28
"132" "hsa-mir-181a" 28 28
"133" "hsa-mir-181a-2*" 1 28
"134" "hsa-mir-181a*" 0 28
"135" "hsa-mir-181b" 28 28
"136" "hsa-mir-181c" 28 28
"137" "hsa-mir-181c*" 26 28
"138" "hsa-mir-181d" 28 28
"139" "hsa-mir-182" 13 28
"140" "hsa-mir-182*" 0 28
"141" "hsa-mir-183" 16 28
"142" "hsa-mir-183*" 0 28
"143" "hsa-mir-184" 1 28
"144" "hsa-mir-185" 27 28
"145" "hsa-mir-185*" 4 28
"146" "hsa-mir-186" 28 28
"147" "hsa-mir-186*" 0 28
"148" "hsa-mir-187" 0 28
"149" "hsa-mir-187*" 14 28
"150" "hsa-mir-188-3p" 1 28
"151" "hsa-mir-188-5p" 28 28
"152" "hsa-mir-18a" 15 28
"153" "hsa-mir-18a*" 1 28
"154" "hsa-mir-18b" 15 28
"155" "hsa-mir-18b*" 0 28
"156" "hsa-mir-190" 0 28
"157" "hsa-mir-190b" 2 28
"158" "hsa-mir-191" 1 28
"159" "hsa-mir-191*" 1 28
"160" "hsa-mir-192" 24 28
"161" "hsa-mir-192*" 0 28
"162" "hsa-mir-193a-3p" 28 28
"163" "hsa-mir-193a-5p" 27 28
"164" "hsa-mir-193b" 28 28
"165" "hsa-mir-193b*" 7 28
"166" "hsa-mir-194" 23 28
"167" "hsa-mir-194*" 7 28
"168" "hsa-mir-195" 28 28
"169" "hsa-mir-195*" 18 28
"170" "hsa-mir-196a" 12 28
"171" "hsa-mir-196a*" 0 28
"172" "hsa-mir-196b" 28 28
"173" "hsa-mir-197" 28 28
"174" "hsa-mir-198" 8 28
"175" "hsa-mir-199a-5p" 28 28
"176" "hsa-mir-199b-3p" 28 28
"177" "hsa-mir-199b-5p" 28 28
"178" "hsa-mir-19a" 28 28
"179" "hsa-mir-19a*" 0 28
"180" "hsa-mir-19b" 28 28
"181" "hsa-mir-19b-1*" 7 28
"182" "hsa-mir-19b-2*" 0 28
"183" "hsa-mir-200a" 28 28
"184" "hsa-mir-200a*" 15 28
"185" "hsa-mir-200b" 28 28
"186" "hsa-mir-200b*" 17 28
"187" "hsa-mir-200c" 28 28
"188" "hsa-mir-200c*" 8 28
"189" "hsa-mir-202" 28 28
"190" "hsa-mir-202*" 0 28
"191" "hsa-mir-203" 25 28
"192" "hsa-mir-204" 27 28
"193" "hsa-mir-205" 28 28
"194" "hsa-mir-206" 27 28
"195" "hsa-mir-208a" 0 28
"196" "hsa-mir-208b" 0 28
"197" "hsa-mir-20a" 28 28
"198" "hsa-mir-20a*" 13 28
"199" "hsa-mir-20b" 28 28
"200" "hsa-mir-20b*" 0 28
"201" "hsa-mir-21" 28 28
"202" "hsa-mir-21*" 28 28
"203" "hsa-mir-210" 27 28
"204" "hsa-mir-211" 4 28
"205" "hsa-mir-212" 26 28
"206" "hsa-mir-214" 28 28
"207" "hsa-mir-214*" 23 28
"208" "hsa-mir-215" 19 28
"209" "hsa-mir-216a" 6 28
"210" "hsa-mir-216b" 0 28
"211" "hsa-mir-217" 0 28
"212" "hsa-mir-218" 27 28
"213" "hsa-mir-218-1*" 0 28
"214" "hsa-mir-218-2*" 0 28
"215" "hsa-mir-219-1-3p" 0 28
"216" "hsa-mir-219-2-3p" 4 28
"217" "hsa-mir-219-5p" 22 28
"218" "hsa-mir-22" 28 28
"219" "hsa-mir-22*" 22 28
"220" "hsa-mir-220a" 0 28
"221" "hsa-mir-220b" 0 28
"222" "hsa-mir-220c" 1 28
"223" "hsa-mir-221" 28 28
"224" "hsa-mir-221*" 21 28
"225" "hsa-mir-222" 28 28
"226" "hsa-mir-222*" 0 28
"227" "hsa-mir-223" 28 28
"228" "hsa-mir-223*" 0 28
"229" "hsa-mir-224" 25 28
"230" "hsa-mir-23a" 28 28
"231" "hsa-mir-23a*" 18 28
"232" "hsa-mir-23b" 28 28
"233" "hsa-mir-23b*" 9 28
"234" "hsa-mir-24" 28 28
"235" "hsa-mir-24-1*" 27 28
"236" "hsa-mir-24-2*" 0 28
"237" "hsa-mir-25" 28 28
"238" "hsa-mir-25*" 0 28
"239" "hsa-mir-26a" 28 28
"240" "hsa-mir-26a-1*" 0 28
"241" "hsa-mir-26a-2*" 0 28
"242" "hsa-mir-26b" 28 28
"243" "hsa-mir-26b*" 3 28
"244" "hsa-mir-27a" 28 28
"245" "hsa-mir-27a*" 0 28
"246" "hsa-mir-27b" 28 28
"247" "hsa-mir-27b*" 15 28
"248" "hsa-mir-28-3p" 10 28
"249" "hsa-mir-28-5p" 28 28
"250" "hsa-mir-296-3p" 0 28
"251" "hsa-mir-296-5p" 7 28
"252" "hsa-mir-297" 6 28
"253" "hsa-mir-298" 0 28
