"miR" "testes" "sample_num"
"1" "hsa-let-7a" 2 57
"2" "hsa-let-7a*" 0 57
"3" "hsa-let-7a-2*" 0 57
"4" "hsa-let-7b" 0 57
"5" "hsa-let-7b*" 0 57
"6" "hsa-let-7c" 2 57
"7" "hsa-let-7c*" 1 57
"8" "hsa-let-7d" 0 57
"9" "hsa-let-7d*" 0 57
"10" "hsa-let-7e" 1 57
"11" "hsa-let-7e*" 1 57
"12" "hsa-let-7f" 0 57
"13" "hsa-let-7f-1*" 0 57
"14" "hsa-let-7f-2*" 0 57
"15" "hsa-let-7g" 1 57
"16" "hsa-let-7g*" 0 57
"17" "hsa-let-7i" 1 57
"18" "hsa-let-7i*" 0 57
"19" "hsa-miR-1" 0 57
"20" "hsa-miR-100" 0 57
"21" "hsa-miR-100*" 0 57
"22" "hsa-miR-101" 0 57
"23" "hsa-miR-101*" 0 57
"24" "hsa-miR-103" 0 57
"25" "hsa-miR-103-2*" 0 57
"26" "hsa-miR-103-as" 0 57
"27" "hsa-miR-105" 0 57
"28" "hsa-miR-105*" 0 57
"29" "hsa-miR-106a" 0 57
"30" "hsa-miR-106a*" 0 57
"31" "hsa-miR-106b" 0 57
"32" "hsa-miR-106b*" 1 57
"33" "hsa-miR-107" 1 57
"34" "hsa-miR-10a" 1 57
"35" "hsa-miR-10a*" 1 57
"36" "hsa-miR-10b" 0 57
"37" "hsa-miR-10b*" 0 57
"38" "hsa-miR-1178" 0 57
"39" "hsa-miR-1179" 0 57
"40" "hsa-miR-1180" 0 57
"41" "hsa-miR-1181" 0 57
"42" "hsa-miR-1182" 0 57
"43" "hsa-miR-1183" 0 57
"44" "hsa-miR-1184" 0 57
"45" "hsa-miR-1185" 0 57
"46" "hsa-miR-1193" 0 57
"47" "hsa-miR-1197" 0 57
"48" "hsa-miR-1200" 0 57
"49" "hsa-miR-1202" 0 57
"50" "hsa-miR-1203" 0 57
"51" "hsa-miR-1204" 0 57
"52" "hsa-miR-1205" 0 57
"53" "hsa-miR-1206" 0 57
"54" "hsa-miR-1207-3p" 0 57
"55" "hsa-miR-1207-5p" 0 57
"56" "hsa-miR-1208" 0 57
"57" "hsa-miR-122" 1 57
"58" "hsa-miR-122*" 0 57
"59" "hsa-miR-1224-3p" 0 57
"60" "hsa-miR-1224-5p" 0 57
"61" "hsa-miR-1225-3p" 0 57
"62" "hsa-miR-1225-5p" 0 57
"63" "hsa-miR-1226" 0 57
"64" "hsa-miR-1226*" 0 57
"65" "hsa-miR-1227" 0 57
"66" "hsa-miR-1228" 0 57
"67" "hsa-miR-1228*" 1 57
"68" "hsa-miR-1229" 0 57
"69" "hsa-miR-1231" 0 57
"70" "hsa-miR-1233" 0 57
"71" "hsa-miR-1234" 0 57
"72" "hsa-miR-1236" 0 57
"73" "hsa-miR-1237" 0 57
"74" "hsa-miR-1238" 0 57
"75" "hsa-miR-124" 1 57
"76" "hsa-miR-124*" 0 57
"77" "hsa-miR-1243" 0 57
"78" "hsa-miR-1244" 0 57
"79" "hsa-miR-1245" 0 57
"80" "hsa-miR-1246" 0 57
"81" "hsa-miR-1247" 0 57
"82" "hsa-miR-1248" 1 57
"83" "hsa-miR-1249" 0 57
"84" "hsa-miR-1250" 0 57
"85" "hsa-miR-1251" 0 57
"86" "hsa-miR-1252" 0 57
"87" "hsa-miR-1253" 0 57
"88" "hsa-miR-1254" 0 57
"89" "hsa-miR-1255a" 1 57
"90" "hsa-miR-1255b" 0 57
"91" "hsa-miR-1256" 0 57
"92" "hsa-miR-1257" 0 57
"93" "hsa-miR-1258" 0 57
"94" "hsa-miR-125a-3p" 0 57
"95" "hsa-miR-125a-5p" 0 57
"96" "hsa-miR-125b" 0 57
"97" "hsa-miR-125b-1*" 1 57
"98" "hsa-miR-125b-2*" 0 57
"99" "hsa-miR-126" 0 57
"100" "hsa-miR-126*" 1 57
"101" "hsa-miR-1260" 0 57
"102" "hsa-miR-1260b" 0 57
"103" "hsa-miR-1261" 0 57
"104" "hsa-miR-1262" 0 57
"105" "hsa-miR-1263" 0 57
"106" "hsa-miR-1264" 0 57
"107" "hsa-miR-1265" 0 57
"108" "hsa-miR-1266" 0 57
"109" "hsa-miR-1267" 0 57
"110" "hsa-miR-1268" 0 57
"111" "hsa-miR-1269" 0 57
"112" "hsa-miR-1270" 0 57
"113" "hsa-miR-1271" 0 57
"114" "hsa-miR-1272" 0 57
"115" "hsa-miR-1273" 0 57
"116" "hsa-miR-1273c" 0 57
"117" "hsa-miR-1273d" 0 57
"118" "hsa-miR-1273e" 0 57
"119" "hsa-miR-127-3p" 2 57
"120" "hsa-miR-1274a" 0 57
"121" "hsa-miR-1274b" 0 57
"122" "hsa-miR-1275" 0 57
"123" "hsa-miR-127-5p" 0 57
"124" "hsa-miR-1276" 0 57
"125" "hsa-miR-1277" 1 57
"126" "hsa-miR-1278" 0 57
"127" "hsa-miR-1279" 0 57
"128" "hsa-miR-128" 0 57
"129" "hsa-miR-1280" 0 57
"130" "hsa-miR-1281" 0 57
"131" "hsa-miR-1282" 0 57
"132" "hsa-miR-1283" 1 57
"133" "hsa-miR-1284" 0 57
"134" "hsa-miR-1285" 0 57
"135" "hsa-miR-1286" 0 57
"136" "hsa-miR-1287" 0 57
"137" "hsa-miR-1288" 0 57
"138" "hsa-miR-1289" 0 57
"139" "hsa-miR-129*" 0 57
"140" "hsa-miR-1290" 0 57
"141" "hsa-miR-1291" 0 57
"142" "hsa-miR-1292" 0 57
"143" "hsa-miR-1293" 0 57
"144" "hsa-miR-129-3p" 0 57
"145" "hsa-miR-1294" 1 57
"146" "hsa-miR-1295" 0 57
"147" "hsa-miR-129-5p" 1 57
"148" "hsa-miR-1296" 1 57
"149" "hsa-miR-1297" 0 57
"150" "hsa-miR-1298" 0 57
"151" "hsa-miR-1299" 1 57
"152" "hsa-miR-1301" 0 57
"153" "hsa-miR-1302" 0 57
"154" "hsa-miR-1303" 0 57
"155" "hsa-miR-1304" 0 57
"156" "hsa-miR-1305" 0 57
"157" "hsa-miR-1306" 0 57
"158" "hsa-miR-1307" 1 57
"159" "hsa-miR-130a" 0 57
"160" "hsa-miR-130a*" 0 57
"161" "hsa-miR-130b" 0 57
"162" "hsa-miR-130b*" 1 57
"163" "hsa-miR-132" 1 57
"164" "hsa-miR-132*" 1 57
"165" "hsa-miR-1321" 0 57
"166" "hsa-miR-1322" 0 57
"167" "hsa-miR-1323" 0 57
"168" "hsa-miR-1324" 0 57
"169" "hsa-miR-133a" 0 57
"170" "hsa-miR-133b" 0 57
"171" "hsa-miR-134" 1 57
"172" "hsa-miR-135a" 0 57
"173" "hsa-miR-135a*" 0 57
"174" "hsa-miR-135b" 0 57
"175" "hsa-miR-135b*" 0 57
"176" "hsa-miR-136" 0 57
"177" "hsa-miR-136*" 0 57
"178" "hsa-miR-137" 0 57
"179" "hsa-miR-138" 0 57
"180" "hsa-miR-138-1*" 0 57
"181" "hsa-miR-138-2*" 0 57
"182" "hsa-miR-139-3p" 0 57
"183" "hsa-miR-139-5p" 1 57
"184" "hsa-miR-140-3p" 0 57
"185" "hsa-miR-140-5p" 1 57
"186" "hsa-miR-141" 1 57
"187" "hsa-miR-141*" 0 57
"188" "hsa-miR-142-3p" 0 57
"189" "hsa-miR-142-5p" 0 57
"190" "hsa-miR-143" 0 57
"191" "hsa-miR-143*" 0 57
"192" "hsa-miR-144" 1 57
"193" "hsa-miR-144*" 0 57
"194" "hsa-miR-145" 0 57
"195" "hsa-miR-145*" 0 57
"196" "hsa-miR-1468" 0 57
"197" "hsa-miR-1469" 0 57
"198" "hsa-miR-146a" 0 57
"199" "hsa-miR-146a*" 0 57
"200" "hsa-miR-146b-3p" 0 57
"201" "hsa-miR-146b-5p" 0 57
"202" "hsa-miR-147" 0 57
"203" "hsa-miR-1470" 0 57
"204" "hsa-miR-1471" 0 57
"205" "hsa-miR-147b" 1 57
"206" "hsa-miR-148a" 1 57
"207" "hsa-miR-148a*" 0 57
"208" "hsa-miR-148b" 1 57
"209" "hsa-miR-148b*" 0 57
"210" "hsa-miR-149" 0 57
"211" "hsa-miR-149*" 0 57
"212" "hsa-miR-150" 0 57
"213" "hsa-miR-150*" 1 57
"214" "hsa-miR-151-3p" 2 57
"215" "hsa-miR-151-5p" 1 57
"216" "hsa-miR-152" 0 57
"217" "hsa-miR-153" 0 57
"218" "hsa-miR-1537" 0 57
"219" "hsa-miR-1538" 0 57
