"miR" "gastric.adenocarcinoma"
"1" "STAD-nov-1" "1"
"2" "STAD-nov-2" "1"
"3" "STAD-nov-3" "1"
"4" "STAD-nov-4" "1"
"5" "STAD-nov-5" "1"
"6" "STAD-nov-6" "1"
"7" "STAD-nov-7" "1"
"8" "STAD-nov-8" "1"
"9" "STAD-nov-9" "1"
"10" "STAD-nov-10" "1"
"11" "STAD-nov-11" "1"
"12" "STAD-nov-12" "1"
"13" "STAD-nov-13" "1"
"14" "STAD-nov-14" "1"
"15" "STAD-nov-15" "1"
"16" "STAD-nov-16" "1"
"17" "STAD-nov-17" "1"
"18" "STAD-nov-18" "1"
"19" "STAD-nov-19" "1"
"20" "STAD-nov-20" "1"
"21" "STAD-nov-21" "1"
"22" "STAD-nov-22" "1"
"23" "STAD-nov-23" "1"
"24" "STAD-nov-24" "1"
"25" "STAD-nov-25" "1"
"26" "STAD-nov-26" "1"
"27" "STAD-nov-27" "1"
"28" "STAD-nov-28" "1"
"29" "STAD-nov-29" "1"
"30" "STAD-nov-30" "1"
"31" "STAD-nov-31" "1"
"32" "STAD-nov-32" "1"
"33" "STAD-nov-33" "1"
"34" "STAD-nov-34" "1"
"35" "STAD-nov-35" "1"
"36" "STAD-nov-36" "1"
"37" "STAD-nov-37" "1"
"38" "STAD-nov-38" "1"
"39" "STAD-nov-39" "1"
"40" "STAD-nov-40" "1"
"41" "STAD-nov-41" "1"
"42" "STAD-nov-42" "1"
"43" "STAD-nov-43" "1"
"44" "STAD-nov-44" "1"
"45" "STAD-nov-45" "1"
"46" "STAD-nov-46" "1"
"47" "STAD-nov-47" "1"
"48" "STAD-nov-48" "1"
"49" "STAD-nov-49" "1"
"50" "STAD-nov-50" "1"
"51" "STAD-nov-51" "1"
"52" "STAD-nov-52" "1"
"53" "STAD-nov-53" "1"
"54" "STAD-nov-54" "1"
"55" "STAD-nov-55" "1"
"56" "STAD-nov-56" "1"
"57" "STAD-nov-57" "1"
"58" "STAD-nov-58" "1"
"59" "STAD-nov-59" "1"
"60" "STAD-nov-60" "1"
"61" "STAD-nov-61" "1"
"62" "STAD-nov-62" "1"
"63" "STAD-nov-63" "1"
"64" "STAD-nov-64" "1"
"65" "STAD-nov-65" "1"
"66" "STAD-nov-66" "1"
"67" "STAD-nov-67" "1"
"68" "STAD-nov-68" "1"
"69" "STAD-nov-69" "1"
"70" "STAD-nov-70" "1"
"71" "STAD-nov-71" "1"
"72" "STAD-nov-72" "1"
"73" "STAD-nov-73" "1"
"74" "STAD-nov-74" "1"
"75" "STAD-nov-75" "1"
"76" "STAD-nov-76" "1"
"77" "STAD-nov-77" "1"
"78" "STAD-nov-78" "1"
"79" "STAD-nov-79" "1"
"80" "STAD-nov-80" "1"
"81" "STAD-nov-81" "1"
"82" "STAD-nov-82" "1"
"83" "STAD-nov-83" "1"
"84" "STAD-nov-84" "1"
"85" "STAD-nov-85" "1"
"86" "STAD-nov-86" "1"
"87" "STAD-nov-87" "1"
"88" "STAD-nov-88" "1"
"89" "STAD-nov-89" "1"
"90" "STAD-nov-90" "1"
"91" "STAD-nov-91" "1"
"92" "STAD-nov-92" "1"
"93" "STAD-nov-93" "1"
"94" "STAD-nov-94" "1"
"95" "STAD-nov-95" "1"
"96" "STAD-nov-96" "1"
"97" "STAD-nov-97" "1"
"98" "STAD-nov-98" "1"
"99" "STAD-nov-99" "1"
"100" "STAD-nov-100" "1"
"101" "STAD-nov-101" "1"
"102" "STAD-nov-102" "1"
"103" "STAD-nov-103" "1"
"104" "STAD-nov-104" "1"
"105" "STAD-nov-105" "1"
"106" "STAD-nov-106" "1"
"107" "STAD-nov-107" "1"
"108" "STAD-nov-108" "1"
"109" "STAD-nov-109" "1"
"110" "STAD-nov-110" "1"
"111" "STAD-nov-111" "1"
"112" "STAD-nov-112" "1"
"113" "STAD-nov-113" "1"
"114" "STAD-nov-114" "1"
"115" "STAD-nov-115" "1"
"116" "STAD-nov-116" "1"
"117" "STAD-nov-117" "1"
"118" "STAD-nov-118" "1"
"119" "STAD-nov-119" "1"
"120" "STAD-nov-120" "1"
"121" "STAD-nov-121" "1"
"122" "STAD-nov-122" "1"
"123" "STAD-nov-123" "1"
"124" "STAD-nov-124" "1"
"125" "STAD-nov-125" "1"
"126" "STAD-nov-126" "1"
"127" "STAD-nov-127" "1"
"128" "STAD-nov-128" "1"
"129" "STAD-nov-129" "1"
"130" "STAD-nov-130" "1"
"131" "STAD-nov-131" "1"
"132" "STAD-nov-132" "1"
"133" "STAD-nov-133" "1"
"134" "STAD-nov-134" "1"
"135" "STAD-nov-135" "1"
"136" "STAD-nov-136" "1"
"137" "STAD-nov-137" "1"
"138" "STAD-nov-138" "1"
"139" "STAD-nov-139" "1"
"140" "STAD-nov-140" "1"
"141" "STAD-nov-141" "1"
"142" "STAD-nov-142" "1"
"143" "STAD-nov-143" "1"
"144" "STAD-nov-144" "1"
"145" "STAD-nov-145" "1"
"146" "STAD-nov-146" "1"
"147" "STAD-nov-147" "1"
"148" "STAD-nov-148" "1"
"149" "STAD-nov-149" "1"
"150" "STAD-nov-150" "1"
"151" "STAD-nov-151" "1"
"152" "STAD-nov-152" "1"
"153" "STAD-nov-153" "1"
"154" "STAD-nov-154" "1"
"155" "STAD-nov-155" "1"
"156" "STAD-nov-156" "1"
"157" "STAD-nov-157" "1"
"158" "STAD-nov-158" "1"
"159" "STAD-nov-159" "1"
"160" "STAD-nov-160" "1"
"161" "STAD-nov-161" "1"
"162" "STAD-nov-162" "1"
"163" "STAD-nov-163" "1"
"164" "STAD-nov-164" "1"
"165" "STAD-nov-165" "1"
"166" "STAD-nov-166" "1"
"167" "STAD-nov-167" "1"
"168" "STAD-nov-168" "1"
"169" "STAD-nov-169" "1"
"170" "STAD-nov-170" "1"
