"miR" "head.neck"
"1" "HN-nov-miR-1" "1"
"2" "HN-nov-mirR-2" "1"
"3" "HN-nov-miR-3" "1"
"4" "HN-nov-miR-4" "1"
"5" "HN-nov-miR-5" "1"
"6" "HN-nov-miR-6" "1"
"7" "HN-nov-miR-7" "1"
"8" "HN-nov-miR-8" "1"
"9" "HN-nov-miR-9" "1"
"10" "HN-nov-miR-10" "1"
"11" "HN-nov-miR-11" "1"
"12" "HN-nov-miR-12" "1"
"13" "HN-nov-miR-13" "1"
"14" "HN-nov-miR-14" "1"
"15" "HN-nov-miR-15" "1"
"16" "HN-nov-miR-16" "1"
"17" "HN-nov-miR-17" "1"
"18" "HN-nov-miR-18" "1"
"19" "HN-nov-miR-19" "1"
"20" "HN-nov-miR-20" "1"
"21" "HN-nov-miR-21" "1"
"22" "HN-nov-miR-22" "1"
"23" "HN-nov-miR-23" "1"
"24" "HN-nov-miR-24" "1"
"25" "HN-nov-miR-25" "1"
"26" "HN-nov-miR-26" "1"
"27" "HN-nov-miR-27" "1"
"28" "HN-nov-miR-28" "1"
"29" "HN-nov-miR-29" "1"
"30" "HN-nov-miR-30" "1"
"31" "HN-nov-miR-31" "1"
"32" "HN-nov-miR-32" "1"
"33" "HN-nov-miR-33" "1"
"34" "HN-nov-miR-34" "1"
"35" "HN-nov-miR-35" "1"
"36" "HN-nov-miR-36" "1"
"37" "HN-nov-miR-37" "1"
"38" "HN-nov-miR-38" "1"
"39" "HN-nov-miR-39" "1"
"40" "HN-nov-miR-40" "1"
"41" "HN-nov-miR-41" "1"
"42" "HN-nov-miR-42" "1"
"43" "HN-nov-miR-43" "1"
"44" "HN-nov-miR-44" "1"
"45" "HN-nov-miR-45" "1"
"46" "HN-nov-miR-46" "1"
"47" "HN-nov-miR-47" "1"
"48" "HN-nov-miR-48" "1"
"49" "HN-nov-miR-49" "1"
"50" "HN-nov-miR-50" "1"
"51" "HN-nov-miR-51" "1"
"52" "HN-nov-miR-52" "1"
"53" "HN-nov-miR-53" "1"
"54" "HN-nov-miR-54" "1"
"55" "HN-nov-miR-55" "1"
"56" "HN-nov-miR-56" "1"
"57" "HN-nov-miR-57" "1"
"58" "HN-nov-miR-58" "1"
"59" "HN-nov-miR-59" "1"
"60" "HN-nov-miR-60" "1"
"61" "HN-nov-miR-61" "1"
"62" "HN-nov-miR-62" "1"
"63" "HN-nov-miR-63" "1"
"64" "HN-nov-miR-64" "1"
"65" "HN-nov-miR-65" "1"
"66" "HN-nov-miR-66" "1"
"67" "HN-nov-miR-67" "1"
"68" "HN-nov-miR-68" "1"
"69" "HN-nov-miR-69" "1"
"70" "HN-nov-miR-70" "1"
"71" "HN-nov-miR-71" "1"
"72" "HN-nov-miR-72" "1"
"73" "HN-nov-miR-73" "1"
"74" "HN-nov-miR-74" "1"
"75" "HN-nov-miR-75" "1"
"76" "HN-nov-miR-76" "1"
"77" "HN-nov-miR-77" "1"
"78" "HN-nov-miR-78" "1"
"79" "HN-nov-miR-79" "1"
"80" "HN-nov-miR-80" "1"
"81" "HN-nov-miR-81" "1"
"82" "HN-nov-miR-82" "1"
"83" "HN-nov-miR-83" "1"
"84" "HN-nov-miR-84" "1"
"85" "HN-nov-miR-85" "1"
"86" "HN-nov-miR-86" "1"
"87" "HN-nov-miR-87" "1"
"88" "HN-nov-miR-88" "1"
"89" "HN-nov-miR-89" "1"
"90" "HN-nov-miR-90" "1"
"91" "HN-nov-miR-91" "1"
"92" "HN-nov-miR-92" "1"
"93" "HN-nov-miR-93" "1"
"94" "HN-nov-miR-94" "1"
"95" "HN-nov-miR-95" "1"
"96" "HN-nov-miR-96" "1"
"97" "HN-nov-miR-97" "1"
"98" "HN-nov-miR-98" "1"
"99" "HN-nov-miR-99" "1"
"100" "HN-nov-miR-100" "1"
"101" "HN-nov-miR-101" "1"
"102" "HN-nov-miR-102" "1"
"103" "HN-nov-miR-103" "1"
"104" "HN-nov-miR-104" "1"
"105" "HN-nov-miR-105" "1"
"106" "HN-nov-miR-106" "1"
"107" "HN-nov-miR-107" "1"
"108" "HN-nov-miR-108" "1"
"109" "HN-nov-miR-109" "1"
"110" "HN-nov-miR-110" "1"
"111" "HN-nov-miR-111" "1"
"112" "HN-nov-miR-112" "1"
"113" "HN-nov-miR-113" "1"
"114" "HN-nov-miR-114" "1"
"115" "HN-nov-miR-115" "1"
"116" "HN-nov-miR-116" "1"
"117" "HN-nov-miR-117" "1"
"118" "HN-nov-miR-118" "1"
"119" "HN-nov-miR-119" "1"
"120" "HN-nov-miR-120" "1"
"121" "HN-nov-miR-121" "1"
"122" "HN-nov-miR-122" "1"
"123" "HN-nov-miR-123" "1"
"124" "HN-nov-miR-124" "1"
"125" "HN-nov-miR-125" "1"
"126" "HN-nov-miR-126" "1"
"127" "HN-nov-miR-127" "1"
"128" "HN-nov-miR-128" "1"
"129" "HN-nov-miR-129" "1"
"130" "HN-nov-miR-130" "1"
"131" "HN-nov-miR-131" "1"
"132" "HN-nov-miR-132" "1"
"133" "HN-nov-miR-133" "1"
"134" "HN-nov-miR-134" "1"
"135" "HN-nov-miR-135" "1"
"136" "HN-nov-miR-136" "1"
"137" "HN-nov-miR-137" "1"
"138" "HN-nov-miR-138" "1"
"139" "HN-nov-miR-139" "1"
"140" "HN-nov-miR-140" "1"
"141" "HN-nov-miR-141" "1"
"142" "HN-nov-miR-142" "1"
"143" "HN-nov-miR-143" "1"
"144" "HN-nov-miR-144" "1"
"145" "HN-nov-miR-145" "1"
"146" "HN-nov-miR-146" "1"
