"miR" "lung.cancer"
"1" "hsa-let-7a" "1"
"2" "hsa-let-7b" "1"
"3" "hsa-let-7c" "1"
"4" "hsa-let-7d" "1"
"5" "hsa-let-7e" "1"
"6" "hsa-let-7f" "1"
"7" "hsa-let-7g" "1"
"8" "hsa-let-7i" "1"
"9" "hsa-mir-1" "1"
"10" "hsa-mir-100" "1"
"11" "hsa-mir-101" "1"
"12" "hsa-mir-103a" "1"
"13" "hsa-mir-105" "1"
"14" "hsa-mir-106a" "1"
"15" "hsa-mir-106b" "1"
"16" "hsa-mir-107" "1"
"17" "hsa-mir-10a" "1"
"18" "hsa-mir-10b" "1"
"19" "hsa-mir-1180" "1"
"20" "hsa-mir-1185" "1"
"21" "hsa-mir-1197" "1"
"22" "hsa-mir-122" "1"
"23" "hsa-mir-1224" "1"
"24" "hsa-mir-1226" "1"
"25" "hsa-mir-1227" "1"
"26" "hsa-mir-1228" "1"
"27" "hsa-mir-1237" "1"
"28" "hsa-mir-124" "1"
"29" "hsa-mir-1245a" "1"
"30" "hsa-mir-1246" "1"
"31" "hsa-mir-1247" "1"
"32" "hsa-mir-1248" "1"
"33" "hsa-mir-1249" "1"
"34" "hsa-mir-1254" "1"
"35" "hsa-mir-1258" "1"
"36" "hsa-mir-125a" "1"
"37" "hsa-mir-125b" "1"
"38" "hsa-mir-126" "1"
"39" "hsa-mir-1262" "1"
"40" "hsa-mir-1266" "1"
"41" "hsa-mir-1267" "1"
"42" "hsa-mir-127" "1"
"43" "hsa-mir-1270" "1"
"44" "hsa-mir-1271" "1"
"45" "hsa-mir-1275" "1"
"46" "hsa-mir-1277" "1"
"47" "hsa-mir-128" "1"
"48" "hsa-mir-1287" "1"
"49" "hsa-mir-1288" "1"
"50" "hsa-mir-129" "1"
"51" "hsa-mir-1290" "1"
"52" "hsa-mir-1291" "1"
"53" "hsa-mir-1292" "1"
"54" "hsa-mir-1294" "1"
"55" "hsa-mir-1295a" "1"
"56" "hsa-mir-1296" "1"
"57" "hsa-mir-1298" "1"
"58" "hsa-mir-1301" "1"
"59" "hsa-mir-1304" "1"
"60" "hsa-mir-1306" "1"
"61" "hsa-mir-1307" "1"
"62" "hsa-mir-130a" "1"
"63" "hsa-mir-130b" "1"
"64" "hsa-mir-132" "1"
"65" "hsa-mir-133a" "1"
"66" "hsa-mir-133b" "1"
"67" "hsa-mir-134" "1"
"68" "hsa-mir-1343" "1"
"69" "hsa-mir-135a" "1"
"70" "hsa-mir-135b" "1"
"71" "hsa-mir-136" "1"
"72" "hsa-mir-137" "1"
"73" "hsa-mir-138" "1"
"74" "hsa-mir-139" "1"
"75" "hsa-mir-140" "1"
"76" "hsa-mir-141" "1"
"77" "hsa-mir-142" "1"
"78" "hsa-mir-143" "1"
"79" "hsa-mir-144" "1"
"80" "hsa-mir-145" "1"
"81" "hsa-mir-1468" "1"
"82" "hsa-mir-146a" "1"
"83" "hsa-mir-146b" "1"
"84" "hsa-mir-148a" "1"
"85" "hsa-mir-148b" "1"
"86" "hsa-mir-149" "1"
"87" "hsa-mir-150" "1"
"88" "hsa-mir-151a" "1"
"89" "hsa-mir-151b" "1"
"90" "hsa-mir-152" "1"
"91" "hsa-mir-153" "1"
"92" "hsa-mir-154" "1"
"93" "hsa-mir-155" "1"
"94" "hsa-mir-15a" "1"
"95" "hsa-mir-15b" "1"
"96" "hsa-mir-16" "1"
"97" "hsa-mir-17" "1"
"98" "hsa-mir-181a" "1"
"99" "hsa-mir-181b" "1"
"100" "hsa-mir-181c" "1"
"101" "hsa-mir-181d" "1"
"102" "hsa-mir-182" "1"
"103" "hsa-mir-183" "1"
"104" "hsa-mir-184" "1"
"105" "hsa-mir-185" "1"
"106" "hsa-mir-186" "1"
"107" "hsa-mir-187" "1"
"108" "hsa-mir-188" "1"
"109" "hsa-mir-18a" "1"
"110" "hsa-mir-18b" "1"
"111" "hsa-mir-190a" "1"
"112" "hsa-mir-190b" "1"
"113" "hsa-mir-191" "1"
"114" "hsa-mir-1910" "1"
"115" "hsa-mir-1911" "1"
"116" "hsa-mir-1912" "1"
"117" "hsa-mir-1915" "1"
"118" "hsa-mir-192" "1"
"119" "hsa-mir-193a" "1"
"120" "hsa-mir-193b" "1"
"121" "hsa-mir-194" "1"
"122" "hsa-mir-195" "1"
"123" "hsa-mir-196a" "1"
"124" "hsa-mir-196b" "1"
"125" "hsa-mir-197" "1"
"126" "hsa-mir-1976" "1"
"127" "hsa-mir-199a" "1"
"128" "hsa-mir-199b" "1"
"129" "hsa-mir-19a" "1"
"130" "hsa-mir-19b" "1"
"131" "hsa-mir-200a" "1"
"132" "hsa-mir-200b" "1"
"133" "hsa-mir-200c" "1"
"134" "hsa-mir-202" "1"
"135" "hsa-mir-203" "1"
"136" "hsa-mir-204" "1"
"137" "hsa-mir-205" "1"
"138" "hsa-mir-206" "1"
"139" "hsa-mir-208b" "1"
"140" "hsa-mir-20a" "1"
"141" "hsa-mir-20b" "1"
"142" "hsa-mir-21" "1"
"143" "hsa-mir-210" "1"
"144" "hsa-mir-2110" "1"
"145" "hsa-mir-2114" "1"
"146" "hsa-mir-212" "1"
"147" "hsa-mir-214" "1"
"148" "hsa-mir-215" "1"
"149" "hsa-mir-217" "1"
"150" "hsa-mir-218" "1"
"151" "hsa-mir-219" "1"
"152" "hsa-mir-22" "1"
"153" "hsa-mir-221" "1"
"154" "hsa-mir-222" "1"
"155" "hsa-mir-223" "1"
"156" "hsa-mir-224" "1"
"157" "hsa-mir-2277" "1"
"158" "hsa-mir-2355" "1"
"159" "hsa-mir-23a" "1"
"160" "hsa-mir-23b" "1"
"161" "hsa-mir-23c" "1"
"162" "hsa-mir-24" "1"
"163" "hsa-mir-25" "1"
"164" "hsa-mir-26a" "1"
"165" "hsa-mir-26b" "1"
"166" "hsa-mir-27a" "1"
"167" "hsa-mir-27b" "1"
"168" "hsa-mir-28" "1"
"169" "hsa-mir-296" "1"
"170" "hsa-mir-2964a" "1"
"171" "hsa-mir-299" "1"
"172" "hsa-mir-29a" "1"
"173" "hsa-mir-29b" "1"
"174" "hsa-mir-29c" "1"
"175" "hsa-mir-301a" "1"
"176" "hsa-mir-301b" "1"
"177" "hsa-mir-3065" "1"
"178" "hsa-mir-3074" "1"
"179" "hsa-mir-30a" "1"
"180" "hsa-mir-30b" "1"
"181" "hsa-mir-30c" "1"
"182" "hsa-mir-30d" "1"
"183" "hsa-mir-30e" "1"
"184" "hsa-mir-31" "1"
"185" "hsa-mir-3117" "1"
"186" "hsa-mir-3125" "1"
"187" "hsa-mir-3127" "1"
"188" "hsa-mir-3130" "1"
"189" "hsa-mir-3131" "1"
"190" "hsa-mir-3145" "1"
"191" "hsa-mir-3150b" "1"
"192" "hsa-mir-3152" "1"
"193" "hsa-mir-3154" "1"
"194" "hsa-mir-3157" "1"
"195" "hsa-mir-3158" "1"
"196" "hsa-mir-3168" "1"
"197" "hsa-mir-3170" "1"
"198" "hsa-mir-3173" "1"
"199" "hsa-mir-3174" "1"
"200" "hsa-mir-3187" "1"
"201" "hsa-mir-3188" "1"
"202" "hsa-mir-3192" "1"
"203" "hsa-mir-3193" "1"
"204" "hsa-mir-3199" "1"
"205" "hsa-mir-32" "1"
"206" "hsa-mir-3200" "1"
"207" "hsa-mir-320a" "1"
"208" "hsa-mir-320b" "1"
"209" "hsa-mir-320c" "1"
"210" "hsa-mir-320d" "1"
"211" "hsa-mir-320e" "1"
"212" "hsa-mir-323a" "1"
"213" "hsa-mir-323b" "1"
"214" "hsa-mir-324" "1"
"215" "hsa-mir-326" "1"
"216" "hsa-mir-328" "1"
"217" "hsa-mir-329" "1"
"218" "hsa-mir-330" "1"
"219" "hsa-mir-331" "1"
"220" "hsa-mir-335" "1"
"221" "hsa-mir-337" "1"
"222" "hsa-mir-338" "1"
"223" "hsa-mir-339" "1"
"224" "hsa-mir-33a" "1"
"225" "hsa-mir-33b" "1"
"226" "hsa-mir-340" "1"
"227" "hsa-mir-342" "1"
"228" "hsa-mir-345" "1"
"229" "hsa-mir-34a" "1"
"230" "hsa-mir-34b" "1"
"231" "hsa-mir-34c" "1"
"232" "hsa-mir-3545" "1"
"233" "hsa-mir-3605" "1"
"234" "hsa-mir-3607" "1"
"235" "hsa-mir-361" "1"
"236" "hsa-mir-3610" "1"
"237" "hsa-mir-3612" "1"
"238" "hsa-mir-3613" "1"
"239" "hsa-mir-3614" "1"
"240" "hsa-mir-3615" "1"
"241" "hsa-mir-362" "1"
"242" "hsa-mir-3620" "1"
"243" "hsa-mir-3622a" "1"
"244" "hsa-mir-363" "1"
"245" "hsa-mir-3648" "1"
"246" "hsa-mir-3651" "1"
"247" "hsa-mir-3652" "1"
"248" "hsa-mir-3653" "1"
"249" "hsa-mir-3654" "1"
"250" "hsa-mir-365a" "1"
"251" "hsa-mir-365b" "1"
"252" "hsa-mir-3664" "1"
"253" "hsa-mir-3676" "1"
"254" "hsa-mir-3677" "1"
"255" "hsa-mir-3682" "1"
"256" "hsa-mir-3687" "1"
"257" "hsa-mir-369" "1"
"258" "hsa-mir-3691" "1"
"259" "hsa-mir-370" "1"
"260" "hsa-mir-372" "1"
"261" "hsa-mir-374a" "1"
