"miR" "papillary.thyroid.carcinoma"
"1" "Tnov-mir-1" "1"
"2" "Tnov-mir-2" "1"
"3" "Tnov-mir-3" "1"
"4" "Tnov-mir-4" "1"
"5" "Tnov-mir-5" "1"
"6" "Tnov-mir-6" "1"
"7" "Tnov-mir-7" "1"
"8" "Tnov-mir-8" "1"
"9" "Tnov-mir-9" "1"
"10" "Tnov-mir-10" "1"
"11" "Tnov-mir-11" "1"
"12" "Tnov-mir-12" "1"
"13" "Tnov-mir-13" "1"
"14" "Tnov-mir-14" "1"
"15" "Tnov-mir-15" "1"
"16" "Tnov-mir-16" "1"
"17" "Tnov-mir-17" "1"
"18" "Tnov-mir-18" "1"
"19" "Tnov-mir-19" "1"
"20" "Tnov-mir-20" "1"
"21" "Tnov-mir-21" "1"
"22" "Tnov-mir-22" "1"
"23" "Tnov-mir-23" "1"
"24" "Tnov-mir-24" "1"
"25" "Tnov-mir-25" "1"
"26" "Tnov-mir-26" "1"
"27" "Tnov-mir-27" "1"
"28" "Tnov-mir-28" "1"
"29" "Tnov-mir-29" "1"
"30" "Tnov-mir-30" "1"
"31" "Tnov-mir-31" "1"
"32" "Tnov-mir-32" "1"
"33" "Tnov-mir-33" "1"
"34" "Tnov-mir-34" "1"
"35" "Tnov-mir-35" "1"
"36" "Tnov-mir-36" "1"
"37" "Tnov-mir-37" "1"
"38" "Tnov-mir-38" "1"
"39" "Tnov-mir-39" "1"
"40" "Tnov-mir-40" "1"
"41" "Tnov-mir-41" "1"
"42" "Tnov-mir-42" "1"
"43" "Tnov-mir-43" "1"
"44" "Tnov-mir-44" "1"
"45" "Tnov-mir-45" "1"
"46" "Tnov-mir-46" "1"
"47" "Tnov-mir-47" "1"
"48" "Tnov-mir-48" "1"
"49" "Tnov-mir-49" "1"
"50" "Tnov-mir-50" "1"
"51" "Tnov-mir-51" "1"
"52" "Tnov-mir-52" "1"
"53" "Tnov-mir-53" "1"
"54" "Tnov-mir-54" "1"
"55" "Tnov-mir-55" "1"
"56" "Tnov-mir-56" "1"
"57" "Tnov-mir-57" "1"
