"miR" "liver.cancer"
"1" "chr17_3421_NM_liver_mature" "1"
"2" "chr22_5179_NM_liver_mature" "1"
"3" "chr22_KI270879v1_alt_8635_NM_liver_mature" "1"
"4" "chr2_4169_NM_liver_mature" "1"
"5" "chr3_5817_NM_liver_mature" "1"
"6" "chr6_7277_NM_liver_mature" "1"
"7" "chr2_4616_NM_liver_mature" "1"
"8" "chr9_8164_NM_liver_mature" "1"
"9" "chr2_4233_NM_liver_mature" "1"
"10" "chr18_3642_NM_liver_mature" "1"
"11" "chr3_5502_NM_liver_mature" "1"
"12" "chr9_8300_NM_liver_mature" "1"
"13" "chr2_4408_NM_liver_mature" "1"
"14" "chr1_649_NM_liver_mature" "1"
"15" "chr9_8298_NM_liver_mature" "1"
"16" "chr3_5419_NM_liver_mature" "1"
"17" "chr6_7213_NM_liver_mature" "1"
"18" "chr1_326_NM_liver_mature" "1"
"19" "chr20_4837_NM_liver_mature" "1"
"20" "chr12_1731_NM_liver_mature" "1"
"21" "chr22_5299_NM_liver_mature" "1"
"22" "chr14_2463_NM_liver_mature" "1"
"23" "chr11_1423_NM_liver_mature" "1"
"24" "chr16_3054_NM_liver_mature" "1"
"25" "chr19_3904_NM_liver_mature" "1"
"26" "chr1_562_NM_liver_mature" "1"
"27" "chr19_3806_NM_liver_mature" "1"
"28" "chr2_4096_NM_liver_mature" "1"
"29" "chr7_7631_NM_liver_mature" "1"
"30" "chr1_124_NM_liver_mature" "1"
"31" "chr1_635_NM_liver_mature" "1"
"32" "chr11_1693_NM_liver_mature" "1"
"33" "chrX_9205_NM_liver_mature" "1"
"34" "chr7_7464_NM_liver_mature" "1"
"35" "chr9_8311_NM_liver_mature" "1"
"36" "chr15_2633_NM_liver_mature" "1"
"37" "chr4_5901_NM_liver_mature" "1"
"38" "chrX_9201_NM_liver_mature" "1"
"39" "chr5_6818_NM_liver_mature" "1"
"40" "chr16_3027_NM_liver_mature" "1"
"41" "chr11_1642_NM_liver_mature" "1"
"42" "chr15_2749_NM_liver_mature" "1"
"43" "chr2_4435_NM_liver_mature" "1"
"44" "chr20_4951_NM_liver_mature" "1"
"45" "chr7_7377_NM_liver_mature" "1"
"46" "chr15_2751_NM_liver_mature" "1"
"47" "chr16_2923_NM_liver_mature" "1"
"48" "chr3_5415_NM_liver_mature" "1"
"49" "chr16_2981_NM_liver_mature" "1"
"50" "chr5_6648_NM_liver_mature" "1"
"51" "chrX_8966_NM_liver_mature" "1"
"52" "chr19_3767_NM_liver_mature" "1"
"53" "chr1_790_NM_liver_mature" "1"
"54" "chr3_5803_NM_liver_mature" "1"
"55" "chr18_3652_NM_liver_mature" "1"
"56" "chrX_9006_NM_liver_mature" "1"
"57" "chrX_9197_NM_liver_mature" "1"
"58" "chr21_5142_NM_liver_mature" "1"
"59" "chr17_3415_NM_liver_mature" "1"
"60" "chr12_1953_NM_liver_mature" "1"
"61" "chr7_7629_NM_liver_mature" "1"
"62" "chr1_448_NM_liver_mature" "1"
"63" "chr10_1197_NM_liver_mature" "1"
"64" "chr10_1208_NM_liver_mature" "1"
"65" "chr5_6849_NM_liver_mature" "1"
"66" "chr2_4125_NM_liver_mature" "1"
"67" "chr14_2340_NM_liver_mature" "1"
"68" "chr20_4839_NM_liver_mature" "1"
"69" "chr19_4058_NM_liver_mature" "1"
"70" "chr14_2474_NM_liver_mature" "1"
"71" "chr11_1649_NM_liver_mature" "1"
"72" "chr22_5195_NM_liver_mature" "1"
"73" "chr8_7845_NM_liver_mature" "1"
"74" "chr16_3094_NM_liver_mature" "1"
"75" "chr2_4573_NM_liver_mature" "1"
"76" "chr7_7728_NM_liver_mature" "1"
"77" "chr12_GL877876v1_alt_8528_NM_liver_mature" "1"
"78" "chr22_5222_NM_liver_mature" "1"
"79" "chr18_3670_NM_liver_mature" "1"
"80" "chr10_1171_NM_liver_mature" "1"
"81" "chr19_3805_NM_liver_mature" "1"
"82" "chr1_133_NM_liver_mature" "1"
"83" "chr14_2526_NM_liver_mature" "1"
"84" "chr1_316_NM_liver_mature" "1"
"85" "chr2_4115_NM_liver_mature" "1"
"86" "chr12_1957_NM_liver_mature" "1"
"87" "chr7_7364_NM_liver_mature" "1"
"88" "chr14_2316_NM_liver_mature" "1"
"89" "chr16_2841_NM_liver_mature" "1"
"90" "chrX_9193_NM_liver_mature" "1"
"91" "chr22_5234_NM_liver_mature" "1"
"92" "chr17_3192_NM_liver_mature" "1"
"93" "chr21_5094_NM_liver_mature" "1"
"94" "chr1_400_NM_liver_mature" "1"
"96" "chr17_3421_NM_liver_star" "1"
"97" "chr22_5179_NM_liver_star" "1"
"98" "chr3_5817_NM_liver_star" "1"
"99" "chr2_4408_NM_liver_star" "1"
"100" "chr1_649_NM_liver_star" "1"
"101" "chr1_562_NM_liver_star" "1"
"102" "chr11_1693_NM_liver_star" "1"
"103" "chr20_4839_NM_liver_star" "1"
"104" "chr17_3192_NM_liver_star" "1"
