"miR" "melanoma" "sample_num"
"1" "hsa-miR-526a#hsa-miR-520c-5p#hsa-miR-518d-5p" 2 57
"2" "hsa-miR-516b-3p#hsa-miR-516a-3p" 0 57
"3" "hsa-miR-548g-5p#hsa-miR-548x-5p#hsa-miR-548aj-5p" 18 57
"4" "hsa-miR-199a-3p#hsa-miR-199b-3p" 56 57
"5" "hsa-miR-3689b-3p#hsa-miR-3689c" 0 57
"6" "hsa-miR-548h-3p#hsa-miR-548z" 40 57
"7" "hsa-miR-570-5p#hsa-miR-548ai" 0 57
"8" "hsa-miR-548c-5p#hsa-miR-548o-5p#hsa-miR-548am-5p" 39 57
"9" "hsa-miR-517a-3p#hsa-miR-517b-3p" 6 57
"10" "hsa-miR-518a-5p#hsa-miR-527" 3 57
"11" "hsa-miR-548t-3p#hsa-miR-548aa" 37 57
"12" "hsa-miR-3689a-5p#hsa-miR-3689b-5p#hsa-miR-3689e" 5 57
"13" "hsa-miR-519c-5p#hsa-miR-519b-5p#hsa-miR-523-5p#hsa-miR-518e-5p#hsa-miR-522-5p#hsa-miR-519a-5p" 6 57
"14" "hsa-miR-365a-3p#hsa-miR-365b-3p" 57 57
